superkingdom	phylum	class	order	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Negativicutes	Selenomonadales	12275.2488005817	16077.6540795016	10008.9752767017	23537.22164692	32048.2003894517	37045.1723594434	8347.61974307467	7870.31627293873	9074.11256376367	44872.2413329995	28759.7532631928	37481.2817252819	34358.2937967427	57577.1302908691	46468.5754754115	28097.2098554746	67426.3546460979	78826.3415795604	294.078484162865	105.09061218476	225.188667129993	375.342428881052	231.169947436743	250.742875164604	186.166507975698	69.0866474700808	282.136048043729
Bacteria	Firmicutes	Negativicutes	Veillonellales	2671.26204643751	2756.52099573184	2343.20719509133	2695.97811922059	4046.46059180268	4533.41918243011	1767.10317199026	853.699193239438	1738.90803057091	1826.42320615344	1227.47699761566	1349.51098966724	1995.63943394128	2935.04618202567	1305.60793529586	937.954006899208	3617.01616640636	2861.79394314948	1332.08847092383	810.758333352049	1501.33088899346	1939.55630606741	1322.40870501682	1137.61758075669	1114.02548074701	630.786837915265	1578.39228463461
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	162.195384414508	87.079750064211	78.1049155613339	63.0464325784502	96.0572326405618	129.068353333748	57.1102494245639	0	51.1113699906803	16828.6905318228	10850.6923657887	14350.067279019	5367.7946363724	10466.0899468845	8178.59014437627	3454.26413428499	8179.57954415955	8760.81159512254	171.098043372474	72.06213406955	126.105653592796	192.054408739813	111.081663054049	99.0509506898724	111.099358092458	39.0489746570022	141.068024021864
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	78.0940735107156	96.0889201808077	60.0807042779528	72.0513169361219	117.069762424843	99.0524572096209	0	0	0	0	0	0	0	0	0	0	71.7295651731777	71.0091654996949	929.583362080943	808.493908159174	943.194380169563	1607.25136779823	742.745332315208	1314.13816291866	303.041328954557	95.0044396799696	745.656687367128
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	207.450228079615	250.896756817857	202.724728346411	270.066857430996	213.865545850548	164.916826901817	0	0	0	255.470005198339	99.1899335775535	84.1584069906878	144.263025555233	184.601052333025	169.12628207455	120.254129012785	408.396064202619	532.241130554861	720.86549276357	492.511221646731	625.991061356168	1149.15902800197	465.283226536392	945.818131661391	207.415181199982	193.357219325585	430.540036926088
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1384.66799610367	2023.84768805344	1156.55355735052	904.723926540096	1221.72792751465	1408.05888016979	1496.88969544383	1124.17355958019	1085.36497450798	4107.93870513561	2605.71487667328	3389.14467402986	7838.17027707125	13399.8964870176	10835.8014159711	4596.66408280477	11456.3181337215	13191.2208891678	2002.14732825873	1411.21679219535	1657.38859007675	2496.68457119216	795.584884037691	1482.76227456351	2645.36579674237	1528.9175461857	5477.6413582958
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	327.394385102615	491.096408046828	234.314746684002	114.081251815277	153.091214520895	159.084284723848	192.371366482741	222.430062590733	150.327558796119	0	0	0	0	69.0731720100421	0	0	57.0559685671482	78.0874533676314	426.244248401598	360.31067034775	549.460347797184	216.059848402317	57.0419350817938	153.078695707391	186.166491938714	195.244873285011	606.292358562056
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	0	0	0	0	0	0	0	0	0	1694.80359533207	1298.34928111056	1003.82478541384	450.821954860102	1099.01251381602	570.879166232764	147.309705734929	423.41534568252	348.390161625782	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	991.292770535753	2056.89473888354	826.117608118025	1126.0696055449	1690.01486459522	1917.98257905407	781.881785997414	243.48522177962	604.324990337895	2623.38127911399	1619.91999520269	1855.46092887286	979.786648401236	1640.32289341579	704.324199358539	390.815708118703	1636.50687167865	1444.25714086795	785.973750156019	480.414294618356	948.913932155433	1146.18620987189	840.592546223118	648.403163296528	636.548501012449	408.512359471646	946.905502015596
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	2718.27448181529	3209.93975236695	2160.03358363429	1158.8249943431	1639.01639285318	1551.82182961823	1445.79105122185	1199.31885099598	1229.67943096636	0	0	0	33.0602766897408	0	0	0	45.0441857109064	0	0	0	30.0251556173325	30.0082284892425	0	36.0185166370333	36.0375734777106	0	30.0144731961414
