feature	Bacteria.Actinobacteria.Actinobacteria	Bacteria.Actinobacteria.Coriobacteriia	Bacteria.Bacteroidetes.Bacteroidia	Bacteria.Candidatus.Melainabacteria.unassigned	Bacteria.Cyanobacteria.Gloeobacteria	Bacteria.Cyanobacteria.unassigned	Bacteria.Deferribacteres.Deferribacteres	Bacteria.Firmicutes.Bacilli	Bacteria.Firmicutes.Clostridia	Bacteria.Firmicutes.Erysipelotrichia	Bacteria.Firmicutes.Negativicutes	Bacteria.Firmicutes.Tissierellia	Bacteria.Firmicutes.unassigned	Bacteria.Fusobacteria.Fusobacteriia	Bacteria.Lentisphaerae.Lentisphaeria	Bacteria.Proteobacteria.Alphaproteobacteria	Bacteria.Proteobacteria.Betaproteobacteria	Bacteria.Proteobacteria.Deltaproteobacteria	Bacteria.Proteobacteria.Epsilonproteobacteria	Bacteria.Proteobacteria.Gammaproteobacteria	Bacteria.Synergistetes.Synergistia	Bacteria.Tenericutes.Mollicutes	Bacteria.Verrucomicrobia.Verrucomicrobiae
PRMT_CO2_canis_ONT_20240807_bc02	78.5282541982728	943.787629545335	4957.66122541155	108.195773425002	0	0	72.1305156172534	230115.117720575	453845.051854286	10809.8006277709	46110.9338125939	0	0	10850.6923657887	0	153.277345686663	2605.71487667328	0	171.280042166249	2918.26927631325	0	193.348238573539	0
PRMT_CO3_canis_ONT_20240807_bc03	48.2081361696012	922.822386076397	6040.43266221581	138.251478091844	0	0	45.0820037256014	203620.419033295	497602.756657756	10403.5919128298	61818.8962181745	0	0	14350.067279019	0	204.371750222726	3389.14467402986	0	141.367814939895	2859.2857142867	0	234.426419373127	0
PRMT_CP1_canis_PB_20240807_bc31	2608.79210570379	7858.76719961754	8998.64856013252	150.273985068371	0	0	57.1041142822796	236203.083938332	544302.284342315	7391.89302685557	55581.5695722035	0	0	5367.7946363724	0	144.263025555233	7838.17027707125	0	106.340608294415	1469.67983934921	0	123.225336238585	33.0602766897408
PRMT_CP2_canis_PB_20240807_bc32	5341.76730910521	14401.6591803152	15455.8699700842	202.471095136532	0	0	153.162250978789	481290.549626039	1026761.35768119	16330.4436538807	92568.8059711637	0	0	10466.0899468845	0	282.29905082365	13399.8964870176	69.0731720100421	261.644175906872	2799.39903506662	0	255.426395126915	0
PRMT_CP3_canis_PB_20240807_bc33	2550.81256895531	8761.96767555105	12464.7398463482	174.268359411546	0	0	129.198956115457	242900.701652603	656443.096978361	9235.95771718377	74505.1962909925	0	0	8178.59014437627	0	261.402539147986	10835.8014159711	0	177.261866454719	1326.2820226602	0	156.240601334169	0
PRMT_LM1_canis_MONT_20240807_bc16	2351.18640426065	14538.4732497631	8753.80989580701	135.284423634119	0	0	63.1327310292554	191572.065896069	440016.055521979	2788.53622073375	45253.1145857976	0	0	3454.26413428499	0	180.379231512158	4596.66408280477	0	147.444172516501	538.125413853632	0	54.1136226508956	0
PRMT_LM2_canis_MONT_20240807_bc17	6845.30910495618	38894.1701455136	20883.37261142	252.329202849884	0	0	126.123719990538	570199.339591015	1184664.40296205	8458.20326420335	110441.615178827	0	0	8179.57954415955	0	657.640579465099	11456.3181337215	57.0559685671482	319.260681741387	2150.01058878298	0	159.156122854089	45.0441857109064
PRMT_LM3_canis_MONT_20240807_bc18	4729.57367539767	31781.2732969857	23626.5310984289	294.276304408432	0	0	168.188361099514	419556.952175369	1083149.26238035	6773.29794787951	128559.200432681	0	0	8760.81159512254	0	783.877892507683	13191.2208891678	78.0874533676314	243.046272865132	1852.71457431499	0	177.211987429239	0
PRMT_HM1_human_MONT_20240807_bc28	22932.297258737	5698.65370407461	155724.183669062	276.15824960256	0	0	0	4606.52892726754	1019435.17445657	369.266613737975	31662.1652953506	0	0	171.098043372474	0	1713.9821539948	2002.14732825873	426.244248401598	0	785.973750156019	0	0	0
PRMT_HM2_human_MONT_20240807_bc29	13719.8555306121	5257.539792919	98219.8694374802	230.724120303161	0	0	0	2623.15580755816	711335.45582845	258.030251159337	20481.0967692532	0	0	72.06213406955	0	1357.17019210074	1411.21679219535	360.31067034775	0	480.414294618356	0	0	0
