lineage	merged_passed.fastq.gz
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0.0027981065727272444
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia hansenii	0.002421679679535238
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	0.002952859851039513
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;uncultured Blautia sp.	0.004272445237729267
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus sp.	0.0001808940347839362
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus sp. AF27-8	0.00012233874028740193
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus sp. AM27-12LB	0.00023840369902160377
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Dorea;Dorea phocaeensis	0.0007382149627598783
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena sp.	0.00020912605177333664
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalimonas;Faecalimonas umbilicata	0.0004433472297594737
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	0.0045087576762331385
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] torques	5.855529449653426e-05
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia sp.	0.0016259550525376924
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;uncultured Roseburia sp.	0.00011397369821646846
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Tyzzerella;uncultured Tyzzerella sp.	0.0012307068146860862
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;Oscillospiraceae bacterium	0.0018308985832755623
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;;uncultured Oscillospiraceae bacterium	0.0002363124385038704
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii	8.574168122706802e-05
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;uncultured Faecalibacterium sp.	0.0012390718567570195
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0.00020912605177333664
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus sp. 1001175B_160314_E1	0.00016207269012433588
Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;uncultured Ruminococcus sp.	0.0005897354660008093
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;;Peptostreptococcaceae bacterium	0.0001369775639115355
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;;uncultured Peptostreptococcaceae bacterium	0.00012338437054626862
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Paeniclostridium;Paeniclostridium sordellii	0.0009598885776396152
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Paeniclostridium;[Eubacterium] tenue	6.0646555014267626e-05
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptacetobacter;Peptacetobacter hiranonis	0.0019553285840806975
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus canis	9.724361407460154e-05
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia hominis	5.332714320220084e-05
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia sp. 1001285H_161024_C4	0.0024676874109253724
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;;Erysipelotrichaceae bacterium	0.001980423710293498
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Amedibacillus;Amedibacillus dolichus	0.0019344159789033638
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Amedibacterium;Amedibacterium intestinale	0.00020912605177333664
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;Erysipelatoclostridium ramosum	0.003118069431940449
Bacteria;Firmicutes;Negativicutes;Selenomonadales;;;Selenomonadales bacterium	7.633100889726788e-05
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	0.0004841268098552743
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas sp. Calf98-2	5.541840371993421e-05
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;;Fusobacteriaceae bacterium	0.0002708182370464709
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium sp.	0.002119492534722767
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	6.796596682633441e-05
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;uncultured Fusobacterium sp.	0.0005458189951284086
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella sp.	0.00014638823624133564
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter upsaliensis	0.0007925877362209458
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter canis	0.0006336519368732099
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	0.0012882164789237538
Eukaryota;Imbricatea;;Euglyphida;Paulinellidae;Paulinella;Paulinella micropora	7.110285760293445e-05
unclassified	0.9062832967885558
