sample	alias	n_reads	pass_rate	total_bases	mean_len	median_len	n50_len	mean_q
TOTI_ZYMO_LSK114	barcode87	10	0.4	6343	634.3	364.5	1519	7.333523
TOTI_ZYMO_LSK114	barcode93	10	0.3	8511	851.1	427.5	1304	6.672815
TOTI_ZYMO_LSK114	barcode94	10	0.2	6164	616.4	513	562	6.7688249
TOTI_INVITRO_LSK114	barcode15	9	0	4417	490.777777777778	454	685	5.054915
TOTI_INVITRO_LSK114	barcode76	9	0	4248	472	328	378	4.14242433333333
TOTI_INVITRO_LSK114	barcode35	9	0.111111111111111	4817	535.222222222222	356	900	5.07325122222222
TOTI_INVITRO_LSK114	barcode88	9	0	4393	488.111111111111	416	515	4.88543922222222
TOTI_INVITRO_LSK114	barcode10	9	0.222222222222222	4978	553.111111111111	486	814	6.29202888888889
TOTI_ZYMO_LSK114	barcode37	9	0.111111111111111	12689	1409.88888888889	537	8007	5.59750766666667
TOTI_INVITRO_LSK114	barcode13	8	0.25	9096	1137	731	4694	6.078372
TOTI_INVITRO_LSK114	barcode22	8	0	6010	751.25	423	1577	5.106824875
TOTI_INVITRO_LSK114	barcode40	8	0.625	5171	646.375	417	659	7.7010735
TOTI_ZYMO_LSK114	barcode83	8	0.25	4549	568.625	426	917	6.45692825
TOTI_ZYMO_LSK114	barcode58	8	0.25	4117	514.625	428	606	7.373248375
TOTI_ZYMO_LSK114	barcode08	8	0.375	11609	1451.125	657.5	6913	7.02327225
TOTI_ZYMO_LSK114	barcode89	8	0.25	27363	3420.375	413.5	21058	6.661679875
TOTI_ZYMO_LSK114	barcode74	8	0.25	10302	1287.75	1213.5	1845	6.508067125
TOTI_INVITRO_LSK114	barcode83	7	0	9887	1412.42857142857	617	2076	5.212245
TOTI_INVITRO_LSK114	barcode93	7	0	2921	417.285714285714	281	341	4.49552657142857
TOTI_INVITRO_LSK114	barcode27	7	0	4365	623.571428571429	343	721	4.43039557142857
TOTI_INVITRO_LSK114	barcode87	7	0	2446	349.428571428571	269	498	3.98698157142857
TOTI_INVITRO_LSK114	barcode08	7	0.142857142857143	4087	583.857142857143	526	1016	5.62586514285714
TOTI_INVITRO_LSK114	barcode28	7	0	2830	404.285714285714	347	443	5.18693028571429
TOTI_ZYMO_LSK114	barcode31	7	0.142857142857143	8700	1242.85714285714	337	5502	5.93862228571429
TOTI_ZYMO_LSK114	barcode26	7	0.142857142857143	3862	551.714285714286	343	947	5.62342957142857
TOTI_ZYMO_LSK114	barcode54	7	0.142857142857143	5150	735.714285714286	539	822	6.30900385714286
TOTI_ZYMO_LSK114	barcode79	7	0	3907	558.142857142857	580	678	5.32100942857143
TOTI_ZYMO_LSK114	barcode60	7	0.142857142857143	5302	757.428571428572	444	2869	6.22923085714286
TOTI_ZYMO_LSK114	barcode21	7	0.285714285714286	4030	575.714285714286	432	935	7.09730771428571
TOTI_INVITRO_LSK114	barcode50	6	0	5628	938	542	2905	4.973963
TOTI_INVITRO_LSK114	barcode09	6	0	6541	1090.16666666667	399	3968	4.61064816666667
TOTI_INVITRO_LSK114	barcode23	6	0	5715	952.5	434	1497	5.70503633333333
TOTI_ZYMO_LSK114	barcode66	6	0.166666666666667	10797	1799.5	1010.5	6705	6.34716783333333
TOTI_ZYMO_LSK114	barcode53	6	0.166666666666667	3857	642.833333333333	500	761	5.51821516666667
TOTI_ZYMO_LSK114	barcode39	6	0.166666666666667	2924	487.333333333333	411.5	692	5.9907455
TOTI_ZYMO_LSK114	barcode88	6	0.333333333333333	2890	481.666666666667	373	538	7.58189266666667
TOTI_ZYMO_LSK114	barcode20	6	0	7866	1311	864	4220	4.99508133333333
TOTI_ZYMO_LSK114	barcode24	6	0.333333333333333	3894	649	536	759	6.78829083333333
TOTI_INVITRO_LSK114	barcode58	5	0.2	5246	1049.2	749	2991	5.9325814
TOTI_INVITRO_LSK114	barcode77	5	0.4	2946	589.2	626	626	7.1928308
TOTI_INVITRO_LSK114	barcode11	5	0.4	4863	972.6	804	1076	6.0281002
TOTI_ZYMO_LSK114	barcode64	5	0.4	8164	1632.8	471	6323	7.5084986
TOTI_ZYMO_LSK114	barcode91	5	0	14126	2825.2	420	9691	5.4856094
TOTI_ZYMO_LSK114	barcode45	5	0.2	2587	517.4	521	521	6.8339608
