sample_1	sample_2	distance	host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample_name	library
24	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	0.677882567690904	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
25	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	0.808908549404345	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
26	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4	0.488305761551626	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
27	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	0.893818280888162	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
28	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	0.397691500524659	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
29	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	0.585142336501075	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
30	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	0.815760647780236	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
31	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	0.858049572855252	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
32	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	0.0802510245901639	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
33	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	0.908596951696827	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
34	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	0.842390677281643	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
35	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	0.426005219572266	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
36	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	0.392810265951346	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
37	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	0.475971499317803	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
38	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	0.932926058006528	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
39	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	0.203680783511812	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
40	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	0.463191757191477	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
41	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	0.743614791429459	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
42	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	0.391173973038956	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
43	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	0.36338216053975	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
44	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	0.368465171763416	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
45	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	0.932501167799865	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
46	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	0.150142090306284	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
47	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	0.987909150027698	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
48	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	0.727637323232675	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
49	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	0.95241521804081	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
50	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	0.295810111617767	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
51	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	0.424512046432422	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
52	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	0.226864720870975	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
53	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	0.596403225207149	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
54	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	0.364258852683521	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
55	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	0.322798161222275	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
56	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	0.832810893869549	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
57	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	0.38932289497793	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
58	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	0.976606022632242	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
59	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	0.369965470960045	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
60	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	0.935266691449481	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
61	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	0.390619875368973	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
62	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	0.732430856042212	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
63	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	0.40005286368126	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
64	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	0.839341042076413	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
65	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	0.374468388415025	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
66	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	0.458068881085086	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	2	I2	V1_V2_Illumina
