genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Enterocloster	8445	8788	1128	1721	2028	1642	372	223	94	234	995	965	1897	2595	819	895	2480	1081
Enterococcus	3214	4049	218	252	322	243	62	106	68	86	265	226	415	664	331	339	755	341
Entomomonas	6	10	3	1	5	5	5	11	9	12	1	4	6	5	10	4	8	7
Entomospira	31	45	5	5	8	5	0	0	0	0	8	1	6	14	7	6	10	5
Ephemeroptericola	1	3	0	1	1	0	1	8	8	7	0	1	0	4	1	2	7	0
Epidermidibacterium	7	13	2	1	2	0	1	0	0	0	2	0	1	1	2	2	3	0
Epilithonimonas	37	112	10	10	14	10	10	9	8	10	9	19	15	31	13	9	27	18
Ereboglobus	5	46	4	2	6	7	0	0	0	0	0	1	3	6	1	1	3	1
Erwinia	73	116	16	22	18	24	34	39	32	31	19	19	45	33	22	28	70	23
Erysipelothrix	419	537	13	16	27	23	14	20	8	21	51	36	55	102	36	59	112	51
Erythrobacter	34	171	13	13	21	14	13	3	2	4	14	10	18	17	2	6	21	12
Escherichia	223	104	173	242	391	365	60	69	54	57	69	81	182	161	72	81	309	88
Ethanoligenens	93	122	7	13	10	15	5	3	1	1	9	7	18	18	8	5	17	6
Eubacterium	2563	5184	483	498	555	572	43	53	48	43	582	509	965	1402	621	620	1689	792
Euzebya	6	5	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
Euzebyella	6	4	0	0	0	2	1	5	3	3	0	0	1	2	0	1	5	1
Evansella	85	112	7	15	17	12	0	7	2	4	18	15	25	55	20	20	52	20
Ewingella	3	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2
Exiguobacterium	266	394	8	23	29	21	3	7	4	7	27	24	34	72	30	41	83	28
Ezakiella	61	81	8	3	2	9	4	5	2	2	8	2	9	15	7	3	13	5
Facklamia	9	27	2	5	3	2	2	2	4	3	5	8	7	23	6	7	21	8
Fadolivirus	10	5	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2
Faecalibacillus	299	432	79	73	80	75	20	26	23	37	152	131	241	417	279	250	600	309
Faecalibacter	4	2	2	2	3	2	8	5	9	13	5	3	5	9	7	2	11	5
Faecalibacterium	7202	9445	11696	22591	19623	15504	24035	10491	3672	10837	8229	9100	23808	21409	5815	4644	17759	8128
Faecalibaculum	41	69	17	28	27	31	11	17	11	14	24	16	39	64	21	21	60	38
Falsihalocynthiibacter	0	1	0	1	0	2	1	1	0	1	0	0	0	0	1	0	4	0
Falsirhodobacter	3	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fannyhessea	10	74	0	2	3	1	0	1	0	0	1	3	6	6	3	3	6	3
Fastidiosipila	21	20	0	0	1	1	3	7	3	2	1	0	5	3	1	4	5	2
Fenollaria	25	77	12	17	24	8	11	18	16	15	16	16	19	39	17	21	54	15
Ferribacterium	9	8	0	0	0	1	4	2	2	3	0	0	1	1	0	0	2	0
Ferrigenium	13	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ferrimonas	23	35	3	8	4	5	7	7	1	6	4	3	3	9	2	2	11	1
Ferroplasma	5	1	3	5	3	2	0	0	0	0	1	5	5	1	1	0	2	0
Ferrovibrio	5	0	3	1	1	1	0	0	0	1	1	2	2	5	1	1	4	2
Ferrovum	1	12	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1
