genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Marinomonas	60	131	10	5	19	13	5	6	2	10	12	8	28	37	15	10	46	20
Mariprofundus	9	66	0	2	3	2	1	0	1	0	0	2	1	12	2	6	5	2
Marisediminicola	5	10	0	0	1	1	0	0	0	0	0	3	0	2	1	0	1	1
Marispirochaeta	25	24	3	2	6	3	1	0	0	3	5	4	9	27	2	4	11	6
Marivirga	43	61	3	1	14	10	5	10	5	11	17	15	37	43	31	19	60	18
Marivivens	3	11	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Marixanthomonas	0	2	1	0	5	0	1	0	0	0	2	1	1	1	2	0	3	2
Marnyiella	6	15	0	0	0	1	0	0	1	0	1	1	0	9	1	0	2	1
Marseillevirus	0	0	0	4	0	0	2	1	4	4	0	3	1	0	4	0	4	0
Martelella	17	14	2	8	8	3	3	3	0	5	6	2	10	8	3	5	9	5
Marvinbryantia	2896	4296	515	626	689	722	20	24	13	26	565	558	955	1522	600	637	1572	687
Massilia	104	314	12	20	13	21	10	4	3	2	14	14	20	85	14	16	40	15
Massilistercora	1939	2771	250	265	345	339	19	10	4	17	359	319	520	909	356	372	885	417
Mediterraneibacter	322817	467337	118553	174557	186322	172468	3358	3933	1520	3168	77672	63338	115808	238425	79607	87448	224696	108222
Megalodesulfovibrio	3	44	2	7	9	12	4	2	1	1	12	9	11	34	5	13	26	11
Megamonas	1969	3342	871	1766	5609	1950	30040	76773	37091	44113	3623	4391	12290	5888	2195	3514	16237	2510
Megasphaera	150	379	35	57	50	73	18	7	3	4	45	44	82	115	47	42	116	62
Meiothermus	8	38	0	1	2	2	0	0	1	0	0	1	3	5	2	0	2	0
Melaminivora	2	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Melioribacter	13	10	4	7	7	8	0	1	0	0	1	4	3	6	1	4	3	2
Melissococcus	49	38	4	3	4	7	3	2	1	2	2	1	7	14	6	4	13	3
Melittangium	7	91	1	7	3	5	0	0	0	0	2	1	6	8	3	3	10	4
Mergibacter	43	40	0	1	4	0	1	0	0	1	0	1	1	3	1	0	2	0
Mesobacillus	248	318	42	43	45	69	4	11	9	7	64	58	67	129	54	74	153	71
Mesomycoplasma	43	110	7	8	13	15	12	16	17	19	15	18	20	27	15	19	48	22
Mesoplasma	14	24	5	3	0	2	5	4	2	7	5	7	10	21	11	15	15	16
Mesorhizobium	142	672	54	39	47	73	9	3	5	3	40	36	52	119	32	26	89	34
Mesoterricola	30	93	5	14	9	11	10	3	1	5	9	15	21	23	8	13	26	12
Mesotoga	14	33	0	1	4	5	1	0	0	0	2	2	2	5	1	0	4	4
Metabacillus	237	232	25	32	33	41	19	42	27	35	36	33	58	92	41	46	107	47
Metamycoplasma	24	59	7	2	6	6	6	10	10	13	8	8	9	17	15	12	30	13
Methanimicrococcus	8	11	0	2	0	2	1	3	1	1	1	3	2	9	4	1	10	3
Methanobacterium	39	103	10	7	4	4	4	9	8	11	13	16	28	33	8	22	40	19
Methanobrevibacter	89	100	5	7	12	4	0	10	4	12	13	11	20	25	22	14	30	16
Methanocaldococcus	21	19	4	6	7	1	3	3	5	7	7	2	9	5	12	7	19	6
Methanocella	16	121	3	7	11	8	0	0	0	1	9	8	5	28	8	4	12	9
Methanococcoides	7	14	4	0	1	3	2	0	0	0	2	2	3	4	3	4	6	1
Methanococcus	45	32	5	5	2	8	2	2	3	3	7	4	8	6	4	7	16	11
Methanofollis	6	9	2	3	0	5	1	0	0	0	2	1	7	2	4	0	3	1
Methanohalobium	13	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Methanohalophilus	1	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Methanolobus	37	73	15	11	10	13	0	1	0	0	22	19	33	37	19	22	57	19
Methanomassiliicoccus	14	65	3	5	1	4	1	0	0	0	6	2	7	9	2	2	11	3
Methanomethylovorans	2	36	0	1	4	3	0	1	0	0	4	6	15	22	11	15	24	19
Methanomicrobium	14	50	6	10	5	12	0	0	0	0	10	9	12	24	17	10	23	16
Methanonatronarchaeum	1	4	0	1	0	0	5	6	2	10	0	0	2	0	0	1	6	3
Methanoplanus	34	64	12	16	13	32	2	2	3	1	8	10	17	30	16	17	47	15
Methanoplasma	2	1	0	0	3	0	0	0	0	0	1	1	0	5	1	0	7	1
Methanoregula	34	47	1	3	5	4	0	0	0	0	4	6	8	24	5	6	17	11
Methanosarcina	74	174	15	23	19	17	6	6	9	11	14	13	24	36	11	15	47	12
Methanosphaera	6	12	0	1	2	1	5	4	0	7	1	0	0	0	4	3	6	1
Methanospirillum	5	9	0	1	1	0	1	0	0	0	2	1	1	3	0	1	7	1
Methanothermococcus	11	1	2	1	1	3	4	7	5	1	1	4	2	8	2	3	7	1
Methanothermus	1	4	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2
Methanothrix	12	57	11	10	11	6	3	1	0	4	5	16	14	26	18	5	41	8
Methylacidimicrobium	8	91	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Methylibium	2	7	2	0	2	1	0	3	2	0	0	0	1	2	0	1	1	1
Methylobacillus	24	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1
Methylobacter	15	32	3	0	0	2	0	1	1	0	0	1	1	2	1	2	2	0
Methylobacterium	78	265	18	20	24	22	7	2	1	5	21	23	24	65	11	9	37	18
Methylocaldum	3	2	2	1	0	1	0	1	1	2	1	1	3	1	1	0	2	2
Methylocapsa	1	0	0	0	0	3	1	1	3	0	0	0	0	0	1	0	0	0
Methyloceanibacter	8	78	3	3	7	13	0	0	0	0	8	6	6	23	8	7	8	7
Methylocella	23	93	0	0	1	1	0	1	0	2	1	0	1	1	0	1	1	1
Methylococcus	16	207	9	11	16	24	9	3	2	5	14	8	22	44	11	14	39	15
Methylocystis	2	7	0	1	0	1	3	7	6	4	1	1	2	0	2	4	9	2
Methylogaea	5	19	1	2	1	3	1	0	0	0	2	1	3	7	2	2	1	4
Methyloligella	0	14	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0
Methylomarinovum	8	17	2	11	3	3	5	0	0	3	4	2	4	9	2	4	8	4
Methylomicrobium	2	0	1	0	0	0	1	3	3	3	0	0	0	0	0	0	1	1
Methylomonas	31	51	0	4	4	9	5	7	4	7	5	3	1	16	4	8	11	3
Methylomusa	18	49	1	3	2	2	1	0	0	0	2	8	8	16	15	5	10	5
Methylophaga	13	10	3	3	3	2	7	2	0	1	0	1	8	9	3	6	4	2
Methylophilus	2	12	1	1	1	3	3	2	3	3	0	0	1	0	0	1	3	1
Methylopumilus	9	22	0	1	5	3	8	11	4	11	4	5	4	4	6	5	6	2
Methyloradius	1	1	0	1	0	0	1	4	1	2	0	0	0	2	0	0	0	0
Methylorubrum	15	32	2	1	5	1	0	0	1	0	0	1	2	3	2	1	0	0
Methylosinus	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylospira	4	3	2	5	3	2	0	1	0	0	0	0	2	2	0	1	5	1
Methylotenera	3	9	0	1	2	3	0	3	2	5	1	3	2	4	1	0	11	1
Methylotuvimicrobium	30	4	3	0	3	3	0	1	1	0	5	3	2	7	1	1	4	2
Methyloversatilis	2	2	3	0	2	0	1	2	1	1	0	0	0	0	0	0	0	0
Methylovirgula	2	25	1	2	0	8	1	0	0	1	6	0	3	10	0	3	12	4
Methylovorus	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylovulum	2	0	0	1	0	1	0	2	0	0	1	1	1	5	0	1	1	0
Metrivirus	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	6	1
Microbacterium	655	2618	161	122	131	137	21	11	15	8	139	204	177	453	92	118	317	130
Microbulbifer	166	441	13	10	21	16	14	16	15	16	21	22	22	48	24	24	50	22
Microcella	44	138	5	0	0	1	0	0	1	0	1	4	0	3	0	1	4	3
Micrococcus	43	162	2	3	1	1	1	0	1	0	2	4	5	4	6	2	3	1
Microcystis	12	31	2	0	0	1	0	0	0	0	3	2	2	9	1	0	8	0
Microlunatus	68	334	20	6	8	15	0	0	0	0	18	83	19	46	13	10	42	14
Micromonospora	234	747	41	35	28	28	21	11	7	8	33	43	43	98	25	34	80	30
Micropruina	4	25	74	3	3	6	0	0	2	1	2	33	0	3	0	5	2	2
Microterricola	52	298	9	14	11	8	3	1	0	1	14	22	15	43	16	8	31	20
Microvenator	1	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Microvirga	61	200	101	17	25	33	3	1	4	1	17	57	21	49	11	22	28	15
Microvirgula	2	7	2	3	0	7	0	0	0	0	0	2	2	3	2	2	3	2
Midichloria	27	7	0	1	0	0	1	1	3	5	0	0	1	4	1	3	4	2
Miltoncostaea	11	119	5	2	3	2	5	0	1	0	1	5	1	4	0	0	0	1
Miniimonas	4	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Miniphocaeibacter	64	97	27	24	16	27	7	7	7	10	77	78	92	145	84	99	206	110
missing	150	287	25	29	47	23	16	33	23	29	50	36	64	95	49	47	135	62
Mixta	72	53	4	10	17	19	2	2	2	1	6	2	14	11	4	4	11	7
Mobiluncus	60	245	7	6	15	9	0	0	1	0	7	7	11	16	3	5	10	10
Modestobacter	13	77	6	1	3	1	1	0	0	0	1	13	8	9	0	1	3	3
Moellerella	13	6	0	0	1	1	0	0	0	0	2	1	4	4	1	5	2	2
Mogibacterium	135	359	28	41	33	35	2	2	0	1	53	38	62	81	51	63	129	61
Mongoliitalea	16	61	9	17	8	4	0	0	1	1	12	6	7	23	16	14	36	22
Monoglobus	125	343	32	25	38	46	6	9	3	7	34	31	50	86	39	33	86	42
Moorella	40	38	2	7	7	3	5	5	5	2	3	4	7	9	3	2	5	3
Moorena	14	38	0	1	0	1	1	1	3	2	1	0	0	5	1	2	4	3
Moraxella	116	180	27	26	34	49	7	9	9	11	37	18	53	67	53	41	106	48
Morganella	44	137	6	14	14	17	10	16	7	6	11	17	38	54	19	17	44	19
Moritella	5	45	1	2	1	5	2	4	3	5	1	3	1	8	3	7	9	5
Moturavirus	0	1	0	0	1	3	0	0	0	0	1	2	0	3	0	1	1	0
Moumouvirus	8	15	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1
Mucilaginibacter	175	249	43	53	61	55	28	39	32	39	57	63	91	103	70	61	170	51
Mucispirillum	21	61	3	6	3	3	5	14	11	9	3	2	8	5	1	2	6	2
Mumia	3	18	3	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0
Murdochiella	61	50	31	51	47	19	2	1	0	1	20	27	26	64	22	22	55	19
Muribaculum	26	61	5	8	14	10	8	10	8	17	8	4	15	15	4	4	21	9
Musicola	5	13	1	1	2	4	2	2	4	5	1	2	4	9	0	2	7	1
Mycetocola	6	110	2	4	6	6	3	4	1	1	5	2	9	14	6	2	9	4
Mycetohabitans	0	0	0	2	0	1	3	0	2	3	1	0	2	0	0	0	1	1
Mycoavidus	10	10	0	3	0	1	5	4	7	6	0	0	0	0	1	0	1	0
Mycobacterium	170	625	44	37	42	44	30	15	14	20	29	55	71	95	23	20	74	36
Mycobacteroides	57	137	6	10	7	8	0	1	1	1	4	6	5	19	5	8	12	9
Mycolicibacillus	8	97	1	2	2	4	0	0	0	0	4	6	7	18	6	5	7	4
Mycolicibacter	18	144	8	1	5	10	2	0	2	1	4	5	4	15	0	2	9	3
Mycolicibacterium	262	1154	61	39	47	47	7	1	6	2	42	95	50	158	31	46	110	62
Mycoplasma	161	204	16	24	30	19	18	36	23	25	37	33	73	75	37	49	102	49
Mycoplasmoides	3	5	0	3	3	2	2	10	6	5	2	1	8	2	3	4	10	1
Mycoplasmopsis	114	111	16	14	18	14	28	41	43	34	34	36	56	75	48	57	115	55
Myroides	119	80	8	12	4	13	19	34	24	32	10	8	15	18	8	15	30	9
Myxococcus	20	113	3	3	3	7	0	1	0	0	5	6	5	21	3	7	8	4
Naasia	2	37	2	2	2	1	0	0	0	0	1	4	1	2	4	0	2	0
Nakamurella	34	107	4	0	1	3	0	0	1	0	3	15	2	12	0	2	8	2
Nanchangia	9	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nannocystis	42	176	7	11	11	7	0	0	0	0	9	8	11	31	8	12	21	6
Nanobdella	8	0	0	0	0	0	0	1	0	0	1	0	1	4	1	0	2	0
Nanopelagicus	0	1	1	1	0	0	0	3	0	0	1	1	1	0	4	1	4	0
Nanosynbacter	32	66	6	6	5	1	2	1	0	4	1	2	2	4	2	1	3	3
Natranaerobius	19	57	1	2	5	4	0	1	1	0	10	11	17	16	4	10	16	3
Natranaerofaba	18	14	5	2	1	2	0	5	0	4	4	2	9	16	5	7	8	6
Natrarchaeobaculum	0	7	0	1	1	1	1	2	3	1	0	0	1	1	1	0	0	1
Natribaculum	1	8	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	1
Natrinema	47	73	2	2	4	4	3	0	1	1	1	4	5	7	1	3	7	6
Natronobacterium	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Natronomonas	19	26	4	2	8	7	0	0	0	0	6	10	7	28	9	8	19	6
Natronosporangium	6	21	6	1	2	4	0	0	0	0	0	0	2	12	2	2	2	0
Nautilia	12	11	1	1	3	1	4	0	2	0	2	2	3	2	1	1	0	2
Ndongobacter	84	151	3	8	14	8	2	1	0	0	10	8	14	28	5	8	21	8
Neisseria	130	137	14	21	23	35	27	24	22	20	10	18	24	31	16	11	31	18
Neoasaia	4	13	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0
Neobacillus	803	1178	127	146	138	154	44	59	42	48	172	159	274	406	198	215	516	231
Neochlamydia	4	1	1	0	1	0	0	0	0	0	2	4	2	11	2	2	4	1
Neoehrlichia	4	1	1	0	3	2	1	7	0	0	3	3	6	14	5	6	16	9
Neokomagataea	12	9	1	2	0	1	0	0	0	0	0	3	0	2	0	0	2	2
Neomicrococcus	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neopusillimonas	6	18	0	0	0	1	3	3	2	2	0	0	1	0	0	2	3	0
Neorhizobium	14	129	4	7	8	12	3	2	3	4	8	10	5	20	7	3	22	0
Neotabrizicola	5	12	1	0	1	0	0	0	0	0	0	2	1	2	0	1	4	1
Neptuniibacter	1	14	0	1	1	0	0	1	1	1	1	1	2	4	5	0	1	1
Neptunochlamydia	2	3	0	0	0	3	0	0	0	0	2	1	4	2	0	0	2	1
Neptunomonas	36	4	3	6	7	8	5	3	4	9	4	5	8	11	5	7	8	4
Nesterenkonia	4	94	1	0	1	3	0	0	0	0	0	2	2	11	0	2	2	4
Niabella	19	5	2	0	4	2	2	0	1	1	1	3	1	5	0	1	2	1
Niallia	214	230	28	23	20	35	8	23	17	23	49	35	52	97	43	47	110	37
Niastella	12	5	2	2	5	0	4	3	2	0	5	3	3	9	2	0	4	5
Nibricoccus	4	50	2	2	2	3	0	6	1	2	5	7	4	15	5	5	12	6
Nicoliella	7	8	0	1	3	0	0	0	0	0	1	2	2	0	2	1	2	4
Nitratidesulfovibrio	3	27	2	0	2	1	2	2	0	1	0	1	7	11	1	2	3	0
Nitratifractor	7	25	0	0	0	2	0	0	0	0	0	0	2	1	4	2	3	1
Nitratireductor	6	8	1	0	2	0	3	2	0	2	1	0	0	2	0	2	3	0
Nitratiruptor	7	5	6	0	2	2	0	4	4	5	4	2	2	9	5	0	5	5
Nitrincola	5	3	3	4	6	4	7	2	0	4	0	5	7	4	3	0	5	0
Nitrobacter	12	60	3	4	9	5	4	2	1	1	1	2	5	5	3	0	6	3
Nitrogeniibacter	11	114	6	2	1	1	3	7	5	2	1	3	2	6	2	1	7	3
Nitrosococcus	3	2	1	0	0	0	1	2	0	3	0	1	0	1	0	0	2	0
Nitrosocosmicus	36	0	0	0	0	0	0	1	0	0	1	5	3	1	2	1	3	0
Nitrosomonas	9	31	1	5	4	4	3	7	3	1	9	5	12	17	6	5	6	5
Nitrosophilus	144	85	5	4	5	6	6	0	6	5	2	10	9	14	4	8	24	11
Nitrosopumilus	33	51	2	6	5	5	0	1	1	1	7	7	10	19	5	13	21	12
Nitrososphaera	7	14	1	2	1	3	0	0	0	0	0	1	0	4	0	0	1	1
Nitrosospira	18	16	0	4	0	0	0	0	0	1	3	3	5	2	1	3	6	3
Nitrosotenuis	5	6	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
Nitrospira	5	19	0	3	2	3	3	3	6	4	3	2	3	4	1	1	1	1
Nitrospirillum	6	13	1	0	1	1	0	0	0	0	0	0	0	3	2	0	1	1
Nitrotoga	27	29	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0
Niveispirillum	4	6	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1
Nocardia	164	935	40	46	48	49	18	3	6	11	57	48	75	166	31	44	130	47
Nocardioides	340	1452	273	77	76	102	35	24	22	16	99	290	114	234	52	69	195	80
Nocardiopsis	16	31	0	2	2	3	9	0	1	0	2	3	6	3	1	2	3	0
Nodularia	7	11	6	5	3	6	0	0	1	0	9	5	13	20	9	3	10	2
Nonlabens	56	68	3	9	7	3	11	3	5	4	6	6	6	14	8	5	12	5
Nonomuraea	130	567	14	11	7	11	1	0	0	0	12	8	3	30	7	11	20	10
Nordella	31	139	3	2	3	10	2	2	0	1	12	10	4	20	9	8	16	8
Nosocomiicoccus	12	26	4	2	3	3	1	2	3	2	12	1	8	23	10	6	17	7
Nostoc	70	140	12	7	10	16	5	6	8	7	16	11	21	52	23	18	45	25
Novacetimonas	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Novibacillus	69	25	5	6	5	1	2	5	4	7	3	3	2	8	5	6	18	4
Noviherbaspirillum	1	2	0	1	0	0	3	3	1	0	0	0	0	0	0	1	3	0
Novisyntrophococcus	1810	3130	351	345	346	434	8	15	8	14	484	442	774	1191	494	537	1288	612
Novosphingobium	29	240	5	7	11	13	6	0	2	0	10	8	5	23	4	6	9	3
Nucleicultrix	3	2	0	0	4	0	0	0	0	0	0	0	4	2	1	2	2	0
Occallatibacter	12	4	0	4	2	1	0	1	0	0	0	1	1	1	0	0	0	1
Occultella	5	37	1	0	0	1	0	1	0	0	0	5	1	1	0	0	2	0
Oceanicoccus	18	103	3	10	5	5	1	0	1	1	2	5	2	8	2	1	5	6
Oceanicola	4	17	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0
Oceanidesulfovibrio	4	3	0	6	4	2	1	0	4	0	2	0	1	2	0	0	2	0
Oceanihabitans	11	10	1	2	0	1	2	3	2	2	1	0	1	1	0	1	4	0
Oceanirhabdus	62	111	10	8	17	11	23	26	19	27	17	14	32	38	18	24	58	26
Oceanisphaera	1	0	0	1	0	0	2	4	0	1	0	0	0	0	1	1	1	1
Oceanispirochaeta	34	32	1	0	2	0	0	2	2	4	3	2	8	4	0	1	3	4
Oceanithermus	7	45	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
Oceanobacillus	250	390	48	58	50	55	19	34	9	21	48	47	107	138	76	86	189	94
Oceanotoga	22	61	1	5	5	6	9	16	17	16	6	10	20	18	12	10	27	9
Octadecabacter	15	7	1	0	0	1	2	1	1	2	0	0	0	1	0	0	1	0
Odoribacter	44	53	3	6	1	12	13	40	19	22	1	2	10	9	5	4	11	11
Oenococcus	33	39	0	4	4	2	3	1	5	7	4	7	8	10	9	9	11	8
Oerskovia	17	169	6	5	14	10	1	2	0	1	20	19	14	50	11	16	31	13
Oleidesulfovibrio	12	75	11	6	7	10	0	0	0	0	13	12	17	35	12	13	45	16
Oleiphilus	6	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Oligella	6	12	2	4	5	5	12	17	6	14	3	0	11	8	5	6	11	2
Olivibacter	28	93	6	5	4	2	3	2	1	2	5	5	4	21	6	2	16	11
Olleya	1	1	0	0	3	0	0	0	0	0	0	2	1	3	2	5	3	1
Olsenella	1779	15237	267	393	508	583	36	20	7	15	612	468	660	2189	476	594	1446	608
Opitutus	16	125	6	1	4	2	0	0	0	0	3	2	7	10	3	4	11	8
Orientia	6	3	0	0	0	0	0	0	1	0	0	1	2	2	0	0	2	1
Ornithinimicrobium	61	350	27	17	12	18	9	4	2	5	12	20	23	45	15	7	35	18
Ornithobacterium	28	16	4	1	1	2	2	4	3	3	4	0	3	9	0	1	7	2
Orrella	2	0	0	0	0	1	1	3	5	2	1	0	0	1	0	1	0	0
Orthobunyavirus	0	0	0	0	0	0	2	4	1	4	0	0	0	2	1	1	2	0
Oryzomicrobium	2	1	3	6	8	6	0	1	1	1	5	2	5	4	2	0	3	1
Oscillatoria	15	11	2	5	6	4	0	0	0	1	6	1	7	9	5	3	11	5
Oscillibacter	305	395	78	142	151	141	102	28	12	39	63	75	144	177	64	48	151	70
Otariodibacter	23	19	3	4	6	6	6	1	1	2	6	7	6	10	12	4	15	8
Ottowia	9	0	0	1	1	1	0	0	5	4	2	0	1	0	1	1	3	0
Owenweeksia	7	4	2	1	1	0	1	0	1	0	0	1	0	1	0	0	2	0
Oxalobacter	19	30	3	3	6	4	8	6	3	8	2	3	7	6	1	0	7	4
Oxynema	23	28	7	3	4	4	0	0	0	0	3	0	0	3	1	4	6	3
Pacificitalea	3	9	0	2	6	4	6	9	12	7	1	6	7	5	6	5	10	1
Paenacidovorax	9	11	2	6	6	9	7	1	1	6	2	6	6	6	3	3	6	1
Paenalcaligenes	3	1	0	3	0	1	3	3	3	3	0	0	1	1	0	0	1	1
Paenalkalicoccus	24	43	1	5	2	0	4	0	1	1	5	1	9	6	11	3	11	6
Paenarthrobacter	9	24	2	6	6	3	0	2	0	2	2	3	8	4	1	2	6	1
Paenibacillus	4512	5492	614	747	760	873	99	106	61	87	720	677	1140	1704	707	705	1875	895
Paeniclostridium	2176	9138	25	61	66	48	34	120	38	60	187	180	336	427	200	210	435	220
Paeniglutamicibacter	4	94	1	2	4	4	2	2	0	0	6	3	4	11	1	5	5	2
Paenimyroides	5	2	1	0	2	0	0	0	0	0	1	0	3	3	1	0	1	0
Paenisporosarcina	31	23	2	7	2	17	1	3	5	1	8	13	12	24	9	16	24	12
Pajaroellobacter	0	2	0	0	0	0	0	0	0	0	1	0	0	2	2	1	4	0
Palleronia	1	2	0	1	1	1	1	1	0	1	0	2	2	2	0	0	0	1
Paludibacter	18	16	3	5	1	4	6	10	3	10	4	2	5	11	8	4	14	10
Paludibacterium	38	103	4	3	7	8	2	0	1	1	1	2	3	2	5	3	9	3
Paludibaculum	18	8	4	5	6	4	9	3	1	4	3	4	15	3	0	1	7	3
Paludihabitans	332	519	35	52	42	52	4	8	3	9	64	55	95	141	75	57	177	83
Paludisphaera	9	27	2	5	3	5	4	0	0	0	1	2	0	1	1	0	1	0
Panacibacter	6	15	1	1	1	1	1	6	3	0	0	0	0	1	0	0	2	0
Pandoraea	35	137	5	5	11	10	10	6	3	3	4	5	8	16	3	6	19	4
Pandoravirus	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	2	3	0
Pannonibacter	5	2	0	3	0	1	0	0	0	0	1	3	1	0	1	0	2	0
Pantoea	149	154	657	49	115	62	7	37	12	12	25	14	39	63	19	21	55	31
Parabacteroides	624	650	53	109	106	166	417	579	369	429	47	65	127	139	66	67	262	101
Paraburkholderia	257	545	37	41	39	47	34	29	29	31	35	30	44	90	29	33	65	24
Paracaedibacter	4	2	0	0	0	1	0	2	0	0	0	0	0	3	0	2	1	1
Parachlamydia	4	8	1	1	1	0	0	2	0	0	1	0	0	3	2	1	3	1
Paracholeplasma	5	26	1	1	1	2	0	4	0	4	1	1	2	1	2	2	5	5
Paraclostridium	461	1776	17	36	54	34	38	88	56	47	148	112	223	244	142	151	298	154
Paracoccus	127	466	86	54	55	74	9	8	4	4	29	42	42	90	29	22	61	27
Paraconexibacter	3	27	10	0	1	2	1	0	0	0	1	0	0	2	0	0	1	0
Paracrocinitomix	60	27	0	1	1	2	0	0	0	1	3	1	5	12	5	3	7	1
Parafannyhessea	498	3124	38	92	113	95	8	5	2	2	87	76	148	404	81	108	294	122
Paraflavitalea	32	8	5	3	4	10	2	2	1	1	6	8	10	10	7	6	13	3
Parageobacillus	239	170	11	8	19	20	6	6	8	13	28	17	38	64	35	32	65	31
Paraglaciecola	3	9	2	1	3	2	5	2	1	2	1	3	6	8	3	9	14	6
Paralcaligenes	15	66	10	8	8	14	0	2	0	1	8	12	9	32	7	12	21	8
Paraliobacillus	69	127	4	13	5	6	7	17	9	13	3	4	13	7	1	11	17	6
Paraluminiphilus	5	23	5	3	2	7	1	2	2	1	2	4	3	10	5	4	14	6
Paralysiella	4	4	1	0	1	0	0	1	0	1	2	1	3	1	0	0	0	1
Paramagnetospirillum	10	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paramuribaculum	23	25	0	3	3	2	2	6	3	9	1	2	2	1	1	4	5	1
Paraneptunicella	5	1	2	0	5	0	1	5	1	1	1	4	3	3	0	0	3	1
Paraoerskovia	8	29	3	3	3	3	3	0	0	2	0	3	0	4	1	0	1	0
Paraphotobacterium	34	27	1	0	0	0	2	1	2	2	2	1	5	3	4	2	10	4
Paraprevotella	110	89	9	7	12	26	96	106	78	109	5	7	20	13	11	9	45	9
Pararhizobium	32	52	11	15	12	14	1	1	0	0	16	10	14	22	17	8	21	13
Pararhodospirillum	12	42	1	2	2	1	2	2	1	0	2	1	3	5	3	4	3	0
Parasaccharibacter	1	1	0	0	0	0	1	1	1	2	0	0	0	0	1	0	2	0
Parascardovia	15	90	5	4	5	10	3	2	1	1	10	1	9	32	7	10	28	6
Parasedimentitalea	38	61	7	17	10	17	0	1	0	0	12	10	15	31	13	7	23	9
Parashewanella	29	11	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0
Parasphaerochaeta	41	90	7	9	5	10	5	1	4	1	3	4	9	7	1	2	13	0
Parasphingopyxis	7	3	0	1	0	0	0	0	0	1	3	1	2	3	0	1	0	0
Parasphingorhabdus	0	2	0	0	1	0	0	2	1	0	2	0	2	1	1	0	0	0
Parasynechococcus	5	25	0	2	2	1	0	0	0	0	1	0	2	3	1	0	1	2
Paraurantiacibacter	4	20	2	3	1	4	0	0	0	1	2	2	4	16	6	4	9	4
Parazoarcus	10	19	0	0	0	0	1	1	2	2	0	0	1	1	0	0	1	0
Paroceanicella	3	24	0	1	1	1	0	0	0	0	0	0	1	1	0	1	2	1
Parolsenella	1806	15417	268	487	569	626	24	10	12	17	623	491	697	2377	536	633	1562	685
Parvibaculum	6	9	5	4	3	1	0	1	0	0	4	1	3	7	1	3	4	2
Parvicella	4	21	0	0	1	2	0	0	0	2	2	4	3	6	2	3	7	4
Parvimonas	141	480	12	19	16	26	13	29	11	19	36	27	42	62	54	42	95	48
Parvularcula	22	108	4	8	8	14	7	6	1	6	9	1	12	22	2	7	17	7
