genus	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Toti_ONT_V1_V9_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	Toti_ONT_V1_V9_EMU_EMUdb_I_4	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	Toti_ONT_V1_V9_EMU_EMUdb_Q_1	Toti_ONT_V1_V9_EMU_EMUdb_Q_2	Toti_ONT_V1_V9_EMU_EMUdb_Q_3	Toti_ONT_V1_V9_EMU_EMUdb_Q_4	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4
Aliterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkalibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkaliphilus	16	0	15	16	0	0	23	19	22	49	29	52	265	14	79	1	293	222	0	423	11	30	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkalitalea	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allobaculum	1194	618	1031	1125	1210	472	954	734	116	91	166	179	2765	74	2247	2	3336	1415	1	4397	29	28	15	0	30	19	229	0	1184	659	653	794	932	638	588	497	85	100	132	159	674	4366	1075	704	0	749	366	485	0	0	0	0	182	283	632	221	318	207	173	533	60	78	145	379	46	21	24	30
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alterileibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amaricoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0
Amedibacillus	51	43	46	38	120	59	92	74	80	48	98	104	71	0	87	0	185	159	0	326	55	125	48	0	14	0	85	0	182	110	119	127	379	317	231	218	208	244	260	297	107	924	274	120	0	430	201	288	0	0	0	0	616	500	1115	462	22	11	21	24	11	23	29	94	68	16	16	23
Aminipila	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	12	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	1	20	0	0	53	0	0	0	0	27	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobium	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobutyricum	0	0	0	0	0	0	0	0	0	0	0	0	440	23	85	0	383	264	0	329	121	87	23	0	0	14	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	10	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerocolumna	0	0	0	0	0	0	0	0	17	17	0	16	93	0	315	0	330	94	0	2570	0	62	10	0	179	72	1201	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromassilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	17	0	21	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	11	112	0	0	0	24	12	0	0	0	0	0	110	122	100	81	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	41	0	549	0	820	36	0	802	115	95	71	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerosalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerosinus	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerosporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	353	15	831	2	1143	277	3	3345	61	87	20	0	91	82	1033	56	0	0	0	0	0	13	0	0	0	13	0	26	0	66	62	20	0	33	15	10	0	0	0	0	103	18	29	13	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotaenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	115	0	0	0	0	18	12	47	11	0	0	0	0	0	0	0	0	11	26	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotignum	0	0	0	0	0	0	0	0	0	0	0	0	131	0	311	3	289	87	0	370	43	57	51	0	79	38	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	17	0	0	21	0	0	0	0	0	0	28	70	13	27	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	13	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ancylomarina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andreesenia	0	0	0	0	0	0	0	0	0	0	0	0	48	0	11	0	34	33	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	83	55	0	10	102	77	20	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anseongella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arachidicoccus	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arboricoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	28	0	0	14	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asaccharospora	0	0	0	0	0	0	0	0	0	0	0	0	354	28	441	64	688	414	1	2469	38	0	0	0	14	11	69	13	51	22	25	27	44	39	36	31	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Athalassotoga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	15	24	0	13	34	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureibacter	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	34	24	29	29	31	22	28	15	0	0	18	29	453	13	338	0	555	177	0	441	0	30	29	0	11	14	154	0	0	0	0	0	0	0	0	0	0	0	0	0	12	102	0	0	0	13	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	399	479	471	380	195	359	611	199	960	500	1222	1094	739	0	875	0	388	1168	0	1285	9712	20173	9513	9	727	69	2513	0	357	521	275	246	123	488	389	141	1166	713	806	847	112	1323	426	291	0	537	293	134	0	2	0	0	9885	2042	4651	3288	11	30	13	44	0	23	18	46	975	178	315	190
Bariatricus	20	13	17	0	16	10	27	0	12	0	14	14	283	19	192	1	352	181	0	316	0	0	21	0	17	30	105	0	0	0	0	0	0	0	0	0	0	0	0	0	73	463	137	72	0	44	17	50	0	0	0	0	40	18	27	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	26	34	0	0	25	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	12	22	0	0	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beduini	0	0	0	0	0	0	0	0	0	0	0	0	36	0	15	0	73	74	0	192	0	13	0	0	0	0	0	0	37	0	11	10	31	47	30	27	0	39	15	46	0	36	12	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bernardetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	780	490	915	643	2060	889	1650	1490	871	1605	2204	1868	11	0	18	0	41	18	0	157	0	11	0	0	20	0	10	0	815	524	551	460	1857	1077	1104	1327	730	1553	1534	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	117	363	406	476	531	694	2196	546	621	764	379
Blattabacterium	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	17	40	0	13	15	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	5381	3530	4809	5203	6638	4277	7005	5281	3256	3959	5043	9048	45882	4195	42024	369	81300	43906	55	132212	865	809	197	0	4213	6671	18489	1745	7551	5025	4224	5333	7290	7419	6464	5071	2818	4826	3752	8112	122120	856812	211008	138475	1424	211037	116700	103526	0	0	0	3	111569	358546	141720	295106	4600	3979	3155	7650	1840	3301	4753	11836	2158	3734	1281	3930
Bordetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	136	74	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	79	0	74	0	81	58	0	80	28	17	0	0	15	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachyspira	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
