GS_version	primer	rank	sample_name	R2	source	group
D6300	ONT	phylum	ONT3	0.995569420598967	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	PB	phylum	PB1	0.952685980219143	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	phylum	PB2	0.940998831639146	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	phylum	PB3	0.942278480152414	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	MONT	species	MONT1	0.712215293163439	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	species	MONT2	0.651239172819081	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	species	MONT3	0.699229281389863	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	ONT	species	ONT1	0.797115960981608	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	ONT	species	ONT2	0.710797523334281	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	ONT	species	ONT3	0.767031327710472	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	PB	species	PB1	0.735836826749986	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	species	PB2	0.728722368933722	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	species	PB3	0.704391447044166	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	MONT	genus	MONT1	0.00805530017497584	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	genus	MONT2	0.00765677444741663	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	genus	MONT3	0.00805742289877767	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	ONT	genus	ONT1	0.0105913252480628	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	genus	ONT2	0.0113517203154364	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	genus	ONT3	0.0107667344422994	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	PB	genus	PB1	0.00739675872888562	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	genus	PB2	0.00608670195442902	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	genus	PB3	0.00641498349062956	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	MONT	phylum	MONT1	0.928060164309636	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	phylum	MONT2	0.927020384304591	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	phylum	MONT3	0.926791691716404	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	ONT	phylum	ONT1	0.914454440672587	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	phylum	ONT2	0.914248923884254	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	phylum	ONT3	0.913262335755002	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	PB	phylum	PB1	0.932188766332929	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	phylum	PB2	0.932367053307711	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	phylum	PB3	0.927452067070595	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	MONT	species	MONT1	0.0456942561345153	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	species	MONT2	0.041448874094997	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	MONT	species	MONT3	0.0468113335815232	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6323	ONT	species	ONT1	0.0720419093718949	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	species	ONT2	0.0709479488206717	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	ONT	species	ONT3	0.0705572906435662	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6323	PB	species	PB1	0.0345072158629504	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	species	PB2	0.0254976373821787	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6323	PB	species	PB3	0.0303122403246273	./FR_D6323_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
