genus	Zymo_6323_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Drancourtella	0	17.9634164114721	24.064208548987	11.0783291266857	31.6819311099761	48.7912700948385	45.0667922347786	10.5381787083826	0	13.9849058308279
Duodenibacillus	0	80.096485652265	128.992114788443	79.106260632633	74.0527419183902	97.057828813901	103.054576724584	117.226301450421	86.1311438573893	77.1681468486742
Dysosmobacter	68031	3504.55214834702	4281.81269336533	2883.85364442759	5641.96530098824	7347.69067379548	7762.30286275995	1975.71136106853	1891.59385372838	2049.88817397841
Eggerthella	43101	0	25.0283314916693	0	0	0	0	0	14.0284783853999	0
Eisenbergiella	42615	1186.69703874852	1433.07610722494	936.386032912379	1619.64833078979	2099.00525272186	2282.85164177778	691.684626523743	659.317743410166	733.298721908324
Emergencia	0	205.282591783363	283.131373764282	209.79544637951	256.695660339834	350.810828837411	348.751994166046	158.247427948512	131.904805824551	131.145319730415
Enorma	11727	39.0423066512082	50.0474715864349	18.0242112900266	0	0	0	0	13.0251838454033	20.0436745061492
Enterobacter	0	0	0	0	23.7921880694301	23.9969610697673	35.7400004566025	0	0	0
Enterocloster	0	2455.44155480929	3218.31946962849	1937.66218073984	3962.35494089507	4921.82309035476	5658.55529372043	1509.66720288333	1415.12105628683	1441.72032922271
Enterococcus	0	149.892021824363	115.114277133514	125.345277061206	61.0434740452392	101.328694035656	150.788540453529	125.319920412832	24.0464932530522	95.2086887569816
Ercella	0	42.2619139854865	62.68989525231	40.6754370727238	66.661680037185	104.950485019557	131.245661179815	23.5288591205165	31.5497781491693	36.8184159910106
Erysipelatoclostridium	8307	39.9803387255363	61.0971265437408	30.8505565190331	115.077442301837	165.321060304203	142.910139638937	64.0938345267107	58.2340137104857	43.5807288915521
Escherichia	16848	265.924812520848	507.160990883628	217.240026257832	283.671977698333	413.61883989606	467.1135896313	214.631511298231	61.6461452107032	162.103959238966
