Sample	Sample_name	Dog	DNA_isolation_method	Date	Sex	Read count	Average quality score	Barcode	Flowcell type	Accession
SRTP_A_F1_210705_ZHMW	F1_210705	F1	ZHMW	210705	F	40346	18.69155753	3	R9	ERS21409572
SRTP_A_F1_210705_ZMB	F1_210705	F1	ZMB	210705	F	99080	19.93542034	12	R9	ERS21409573
SRTP_A_F1_210903_ZHMW	F1_210903	F1	ZHMW	210903	F	70212	18.56607355	9	R9	ERS21409576
SRTP_A_F1_210903_ZMB	F1_210903	F1	ZMB	210903	F	64480	19.13286628	4	R9	ERS21409577
SRTP_A_F1_211203_ZHMW	F1_211203	F1	ZHMW	211203	F	31756	17.01197041	1	R9	ERS21409581
SRTP_A_F1_211203_ZMB	F1_211203	F1	ZMB	211203	F	55190	19.72321234	10	R9	ERS21409582
SRTP_A_F2_210316_ZHMW	F2_210316	F2	ZHMW	210316	F	67907	19.55116194	1	R9	ERS21409584
SRTP_A_F2_210316_ZMB	F2_210316	F2	ZMB	210316	F	107528	18.31638949	4	R9	ERS21409585
SRTP_A_F2_210401_ZHMW	F2_210401	F2	ZHMW	210401	F	37067	18.75840919	2	R9	ERS21409586
SRTP_A_F2_210401_ZMB	F2_210401	F2	ZMB	210401	F	40535	19.38085735	12	R9	ERS21409587
