path	file.names	source	sex	dna.isolation.methods	date	name	filename
Serteperti_all_rebasecall_emu/SRTP_A_F2_210831_ZMB_rel-abundance.tsv	SRTP_A_F2_210831_ZMB_rel-abundance.tsv	F2	female	ZMB	210831	F2_210831	SRTP_A_F2_210831_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210915_ZMB_rel-abundance.tsv	SRTP_A_F2_210915_ZMB_rel-abundance.tsv	F2	female	ZMB	210915	F2_210915	SRTP_A_F2_210915_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210927_ZMB_rel-abundance.tsv	SRTP_A_F2_210927_ZMB_rel-abundance.tsv	F2	female	ZMB	210927	F2_210927	SRTP_A_F2_210927_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_211012_ZMB_rel-abundance.tsv	SRTP_A_F2_211012_ZMB_rel-abundance.tsv	F2	female	ZMB	211012	F2_211012	SRTP_A_F2_211012_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_211027_ZMB_rel-abundance.tsv	SRTP_A_F2_211027_ZMB_rel-abundance.tsv	F2	female	ZMB	211027	F2_211027	SRTP_A_F2_211027_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210214_ZMB_rel-abundance.tsv	SRTP_A_F3_210214_ZMB_rel-abundance.tsv	F3	female	ZMB	210214	F3_210214	SRTP_A_F3_210214_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210220_ZMB_rel-abundance.tsv	SRTP_A_F3_210220_ZMB_rel-abundance.tsv	F3	female	ZMB	210220	F3_210220	SRTP_A_F3_210220_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210225_ZMB_rel-abundance.tsv	SRTP_A_F3_210225_ZMB_rel-abundance.tsv	F3	female	ZMB	210225	F3_210225	SRTP_A_F3_210225_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210304_ZMB_rel-abundance.tsv	SRTP_A_F3_210304_ZMB_rel-abundance.tsv	F3	female	ZMB	210304	F3_210304	SRTP_A_F3_210304_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210317_ZHMW_rel-abundance.tsv	SRTP_A_F3_210317_ZHMW_rel-abundance.tsv	F3	female	ZHMW	210317	F3_210317	SRTP_A_F3_210317_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210317_ZMB_rel-abundance.tsv	SRTP_A_F3_210317_ZMB_rel-abundance.tsv	F3	female	ZMB	210317	F3_210317	SRTP_A_F3_210317_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210323_ZMB_rel-abundance.tsv	SRTP_A_F3_210323_ZMB_rel-abundance.tsv	F3	female	ZMB	210323	F3_210323	SRTP_A_F3_210323_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210329_ZMB_rel-abundance.tsv	SRTP_A_F3_210329_ZMB_rel-abundance.tsv	F3	female	ZMB	210329	F3_210329	SRTP_A_F3_210329_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210401_ZHMW_rel-abundance.tsv	SRTP_A_F3_210401_ZHMW_rel-abundance.tsv	F3	female	ZHMW	210401	F3_210401	SRTP_A_F3_210401_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210401_ZMB_rel-abundance.tsv	SRTP_A_F3_210401_ZMB_rel-abundance.tsv	F3	female	ZMB	210401	F3_210401	SRTP_A_F3_210401_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210413_ZHMW_rel-abundance.tsv	SRTP_A_F3_210413_ZHMW_rel-abundance.tsv	F3	female	ZHMW	210413	F3_210413	SRTP_A_F3_210413_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210413_ZMB_rel-abundance.tsv	SRTP_A_F3_210413_ZMB_rel-abundance.tsv	F3	female	ZMB	210413	F3_210413	SRTP_A_F3_210413_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210426_ZMB_rel-abundance.tsv	SRTP_A_F3_210426_ZMB_rel-abundance.tsv	F3	female	ZMB	210426	F3_210426	SRTP_A_F3_210426_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210704_ZHMW_rel-abundance.tsv	SRTP_A_F3_210704_ZHMW_rel-abundance.tsv	F3	female	ZHMW	210704	F3_210704	SRTP_A_F3_210704_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210704_ZMB_rel-abundance.tsv	SRTP_A_F3_210704_ZMB_rel-abundance.tsv	F3	female	ZMB	210704	F3_210704	SRTP_A_F3_210704_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210729_ZMB_rel-abundance.tsv	SRTP_A_F3_210729_ZMB_rel-abundance.tsv	F3	female	ZMB	210729	F3_210729	SRTP_A_F3_210729_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210803_ZHMW_rel-abundance.tsv	SRTP_A_F3_210803_ZHMW_rel-abundance.tsv	F3	female	ZHMW	210803	F3_210803	SRTP_A_F3_210803_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_210803_ZMB_rel-abundance.tsv	SRTP_A_F3_210803_ZMB_rel-abundance.tsv	F3	female	ZMB	210803	F3_210803	SRTP_A_F3_210803_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211003_ZHMW_rel-abundance.tsv	SRTP_A_F3_211003_ZHMW_rel-abundance.tsv	F3	female	ZHMW	211003	F3_211003	SRTP_A_F3_211003_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211003_ZMB_rel-abundance.tsv	SRTP_A_F3_211003_ZMB_rel-abundance.tsv	F3	female	ZMB	211003	F3_211003	SRTP_A_F3_211003_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211013_ZMB_rel-abundance.tsv	SRTP_A_F3_211013_ZMB_rel-abundance.tsv	F3	female	ZMB	211013	F3_211013	SRTP_A_F3_211013_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211028_ZMB_rel-abundance.tsv	SRTP_A_F3_211028_ZMB_rel-abundance.tsv	F3	female	ZMB	211028	F3_211028	SRTP_A_F3_211028_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211203_ZHMW_rel-abundance.tsv	SRTP_A_F3_211203_ZHMW_rel-abundance.tsv	F3	female	ZHMW	211203	F3_211203	SRTP_A_F3_211203_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F3_211203_ZMB_rel-abundance.tsv	SRTP_A_F3_211203_ZMB_rel-abundance.tsv	F3	female	ZMB	211203	F3_211203	SRTP_A_F3_211203_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210214_ZMB_rel-abundance.tsv	SRTP_A_F4_210214_ZMB_rel-abundance.tsv	F4	female	ZMB	210214	F4_210214	SRTP_A_F4_210214_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210224_ZMB_rel-abundance.tsv	SRTP_A_F4_210224_ZMB_rel-abundance.tsv	F4	female	ZMB	210224	F4_210224	SRTP_A_F4_210224_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210317_ZHMW_rel-abundance.tsv	SRTP_A_F4_210317_ZHMW_rel-abundance.tsv	F4	female	ZHMW	210317	F4_210317	SRTP_A_F4_210317_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210317_ZMB_rel-abundance.tsv	SRTP_A_F4_210317_ZMB_rel-abundance.tsv	F4	female	ZMB	210317	F4_210317	SRTP_A_F4_210317_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210330_ZHMW_rel-abundance.tsv	SRTP_A_F4_210330_ZHMW_rel-abundance.tsv	F4	female	ZHMW	210330	F4_210330	SRTP_A_F4_210330_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210330_ZMB_rel-abundance.tsv	SRTP_A_F4_210330_ZMB_rel-abundance.tsv	F4	female	ZMB	210330	F4_210330	SRTP_A_F4_210330_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210413_ZHMW_rel-abundance.tsv	SRTP_A_F4_210413_ZHMW_rel-abundance.tsv	F4	female	ZHMW	210413	F4_210413	SRTP_A_F4_210413_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210413_ZMB_rel-abundance.tsv	SRTP_A_F4_210413_ZMB_rel-abundance.tsv	F4	female	ZMB	210413	F4_210413	SRTP_A_F4_210413_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210704_ZHMW_rel-abundance.tsv	SRTP_A_F4_210704_ZHMW_rel-abundance.tsv	F4	female	ZHMW	210704	F4_210704	SRTP_A_F4_210704_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210704_ZMB_rel-abundance.tsv	SRTP_A_F4_210704_ZMB_rel-abundance.tsv	F4	female	ZMB	210704	F4_210704	SRTP_A_F4_210704_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210729_ZMB_rel-abundance.tsv	SRTP_A_F4_210729_ZMB_rel-abundance.tsv	F4	female	ZMB	210729	F4_210729	SRTP_A_F4_210729_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210831_ZMB_rel-abundance.tsv	SRTP_A_F4_210831_ZMB_rel-abundance.tsv	F4	female	ZMB	210831	F4_210831	SRTP_A_F4_210831_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_210929_ZMB_rel-abundance.tsv	SRTP_A_F4_210929_ZMB_rel-abundance.tsv	F4	female	ZMB	210929	F4_210929	SRTP_A_F4_210929_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_211013_ZMB_rel-abundance.tsv	SRTP_A_F4_211013_ZMB_rel-abundance.tsv	F4	female	ZMB	211013	F4_211013	SRTP_A_F4_211013_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_211026_ZMB_rel-abundance.tsv	SRTP_A_F4_211026_ZMB_rel-abundance.tsv	F4	female	ZMB	211026	F4_211026	SRTP_A_F4_211026_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_211203_ZHMW_rel-abundance.tsv	SRTP_A_F4_211203_ZHMW_rel-abundance.tsv	F4	female	ZHMW	211203	F4_211203	SRTP_A_F4_211203_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F4_211203_ZMB_rel-abundance.tsv	SRTP_A_F4_211203_ZMB_rel-abundance.tsv	F4	female	ZMB	211203	F4_211203	SRTP_A_F4_211203_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_201024_ZMB_rel-abundance.tsv	SRTP_A_M1_201024_ZMB_rel-abundance.tsv	M1	male	ZMB	201024	M1_201024	SRTP_A_M1_201024_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210303_ZMB_rel-abundance.tsv	SRTP_A_M1_210303_ZMB_rel-abundance.tsv	M1	male	ZMB	210303	M1_210303	SRTP_A_M1_210303_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210317_ZHMW_rel-abundance.tsv	SRTP_A_M1_210317_ZHMW_rel-abundance.tsv	M1	male	ZHMW	210317	M1_210317	SRTP_A_M1_210317_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210317_ZMB_rel-abundance.tsv	SRTP_A_M1_210317_ZMB_rel-abundance.tsv	M1	male	ZMB	210317	M1_210317	SRTP_A_M1_210317_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210412_ZHMW_rel-abundance.tsv	SRTP_A_M1_210412_ZHMW_rel-abundance.tsv	M1	male	ZHMW	210412	M1_210412	SRTP_A_M1_210412_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210412_ZMB_rel-abundance.tsv	SRTP_A_M1_210412_ZMB_rel-abundance.tsv	M1	male	ZMB	210412	M1_210412	SRTP_A_M1_210412_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210415_ZHMW_rel-abundance.tsv	SRTP_A_M1_210415_ZHMW_rel-abundance.tsv	M1	male	ZHMW	210415	M1_210415	SRTP_A_M1_210415_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210415_ZMB_rel-abundance.tsv	SRTP_A_M1_210415_ZMB_rel-abundance.tsv	M1	male	ZMB	210415	M1_210415	SRTP_A_M1_210415_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210705_ZHMW_rel-abundance.tsv	SRTP_A_M1_210705_ZHMW_rel-abundance.tsv	M1	male	ZHMW	210705	M1_210705	SRTP_A_M1_210705_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210705_ZMB_rel-abundance.tsv	SRTP_A_M1_210705_ZMB_rel-abundance.tsv	M1	male	ZMB	210705	M1_210705	SRTP_A_M1_210705_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210829_ZMB_rel-abundance.tsv	SRTP_A_M1_210829_ZMB_rel-abundance.tsv	M1	male	ZMB	210829	M1_210829	SRTP_A_M1_210829_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210903_ZHMW_rel-abundance.tsv	SRTP_A_M1_210903_ZHMW_rel-abundance.tsv	M1	male	ZHMW	210903	M1_210903	SRTP_A_M1_210903_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210903_ZMB_rel-abundance.tsv	SRTP_A_M1_210903_ZMB_rel-abundance.tsv	M1	male	ZMB	210903	M1_210903	SRTP_A_M1_210903_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_210928_ZMB_rel-abundance.tsv	SRTP_A_M1_210928_ZMB_rel-abundance.tsv	M1	male	ZMB	210928	M1_210928	SRTP_A_M1_210928_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M1_211012_ZMB_rel-abundance.tsv	SRTP_A_M1_211012_ZMB_rel-abundance.tsv	M1	male	ZMB	211012	M1_211012	SRTP_A_M1_211012_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210214_ZMB_rel-abundance.tsv	SRTP_A_M2_210214_ZMB_rel-abundance.tsv	M2	male	ZMB	210214	M2_210214	SRTP_A_M2_210214_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210301_ZMB_rel-abundance.tsv	SRTP_A_M2_210301_ZMB_rel-abundance.tsv	M2	male	ZMB	210301	M2_210301	SRTP_A_M2_210301_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210317_ZHMW_rel-abundance.tsv	SRTP_A_M2_210317_ZHMW_rel-abundance.tsv	M2	male	ZHMW	210317	M2_210317	SRTP_A_M2_210317_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210317_ZMB_rel-abundance.tsv	SRTP_A_M2_210317_ZMB_rel-abundance.tsv	M2	male	ZMB	210317	M2_210317	SRTP_A_M2_210317_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210401_ZHMW_rel-abundance.tsv	SRTP_A_M2_210401_ZHMW_rel-abundance.tsv	M2	male	ZHMW	210401	M2_210401	SRTP_A_M2_210401_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210401_ZMB_rel-abundance.tsv	SRTP_A_M2_210401_ZMB_rel-abundance.tsv	M2	male	ZMB	210401	M2_210401	SRTP_A_M2_210401_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210704_ZHMW_rel-abundance.tsv	SRTP_A_M2_210704_ZHMW_rel-abundance.tsv	M2	male	ZHMW	210704	M2_210704	SRTP_A_M2_210704_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210704_ZMB_rel-abundance.tsv	SRTP_A_M2_210704_ZMB_rel-abundance.tsv	M2	male	ZMB	210704	M2_210704	SRTP_A_M2_210704_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210803_ZHMW_rel-abundance.tsv	SRTP_A_M2_210803_ZHMW_rel-abundance.tsv	M2	male	ZHMW	210803	M2_210803	SRTP_A_M2_210803_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210803_ZMB_rel-abundance.tsv	SRTP_A_M2_210803_ZMB_rel-abundance.tsv	M2	male	ZMB	210803	M2_210803	SRTP_A_M2_210803_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_210927_ZMB_rel-abundance.tsv	SRTP_A_M2_210927_ZMB_rel-abundance.tsv	M2	male	ZMB	210927	M2_210927	SRTP_A_M2_210927_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_211013_ZMB_rel-abundance.tsv	SRTP_A_M2_211013_ZMB_rel-abundance.tsv	M2	male	ZMB	211013	M2_211013	SRTP_A_M2_211013_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M2_211027_ZMB_rel-abundance.tsv	SRTP_A_M2_211027_ZMB_rel-abundance.tsv	M2	male	ZMB	211027	M2_211027	SRTP_A_M2_211027_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M3_210201_ZMB_rel-abundance.tsv	SRTP_A_M3_210201_ZMB_rel-abundance.tsv	M3	male	ZMB	210201	M3_210201	SRTP_A_M3_210201_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M3_210213_ZMB_rel-abundance.tsv	SRTP_A_M3_210213_ZMB_rel-abundance.tsv	M3	male	ZMB	210213	M3_210213	SRTP_A_M3_210213_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M3_210221_ZMB_rel-abundance.tsv	SRTP_A_M3_210221_ZMB_rel-abundance.tsv	M3	male	ZMB	210221	M3_210221	SRTP_A_M3_210221_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_M3_210227_ZMB_rel-abundance.tsv	SRTP_A_M3_210227_ZMB_rel-abundance.tsv	M3	male	ZMB	210227	M3_210227	SRTP_A_M3_210227_ZMB_rel-abundance.tsv
