sample	DNA_isolation_method	category	N	ratio
SRTP_A_F3_210803_ZMB	ZMB	below_min	2305	0.0361903565652918
SRTP_A_F3_210317_ZHMW	ZHMW	below_min	1710	0.0276327909118821
SRTP_A_F3_211003_ZHMW	ZHMW	above_max	513	0.00456434119562606
SRTP_A_F1_211203_ZHMW	ZHMW	below_min	921	0.02900239324852
SRTP_A_F4_211203_ZHMW	ZHMW	below_min	2902	0.0418149594386248
SRTP_A_F4_210317_ZMB	ZMB	below_min	1978	0.0473047304730473
SRTP_A_M3_210414_ZHMW	ZHMW	above_max	825	0.00526830015900688
SRTP_A_M1_210705_ZHMW	ZHMW	above_max	413	0.00446341727007457
SRTP_A_F3_211203_ZHMW	ZHMW	below_min	3279	0.0239376263861411
SRTP_A_F2_210401_ZMB	ZMB	below_min	1113	0.0274577525595165
SRTP_A_M2_210317_ZMB	ZMB	above_max	165	0.00314219877739902
SRTP_A_F4_210330_ZHMW	ZHMW	below_min	1103	0.0247575866403304
SRTP_A_M1_210705_ZMB	ZMB	above_max	768	0.00562110255584507
SRTP_A_M4_210704_ZMB	ZMB	above_max	600	0.00504855022466049
SRTP_A_F2_210413_ZHMW	ZHMW	below_min	1576	0.0241055996573823
SRTP_A_F1_210415_ZHMW	ZHMW	above_max	406	0.00393972033807846
SRTP_A_M2_210704_ZMB	ZMB	below_min	2641	0.0261840318055184
SRTP_A_F2_210316_ZMB	ZMB	below_min	3053	0.0283926047169109
SRTP_A_F3_210704_ZMB	ZMB	below_min	3201	0.0273627162688915
SRTP_A_F4_210704_ZMB	ZMB	above_max	580	0.00478295289616044
SRTP_A_M2_210415_ZHMW	ZHMW	above_max	142	0.00377358490566038
SRTP_A_F3_210401_ZHMW	ZHMW	below_min	1009	0.0249696849711698
SRTP_A_F1_210705_ZMB	ZMB	above_max	469	0.00473354864755753
SRTP_A_F4_210317_ZHMW	ZHMW	above_max	123	0.00373145648150957
SRTP_A_F4_211203_ZMB	ZMB	below_min	1538	0.030122015707319
SRTP_A_F4_210330_ZMB	ZMB	above_max	126	0.0028784209804907
SRTP_A_M3_210903_ZHMW	ZHMW	below_min	900	0.036879200131126
SRTP_A_M1_210903_ZHMW	ZHMW	above_max	531	0.00454849154545922
SRTP_A_M1_210415_ZMB	ZMB	below_min	1544	0.0247825109948316
SRTP_A_F2_210413_ZHMW	ZHMW	above_max	195	0.00298260909466342
SRTP_A_F3_210413_ZHMW	ZHMW	above_max	98	0.00305581540380418
SRTP_A_F3_211003_ZMB	ZMB	above_max	333	0.00548997625956212
SRTP_A_M4_210317_ZMB	ZMB	below_min	1408	0.0278481012658228
SRTP_A_M2_210704_ZHMW	ZHMW	below_min	912	0.0224216349108789
SRTP_A_M2_211203_ZHMW	ZHMW	below_min	2855	0.0423621930410268
SRTP_A_M4_210401_ZHMW	ZHMW	below_min	688	0.0243272868710442
SRTP_A_M1_210317_ZHMW	ZHMW	below_min	1317	0.0217402070024266
SRTP_A_F2_210705_ZHMW	ZHMW	below_min	1156	0.0270042982620071
SRTP_A_M1_210317_ZHMW	ZHMW	above_max	204	0.00336750359035309
SRTP_A_F3_211203_ZHMW	ZHMW	above_max	634	0.00462837911827188
SRTP_A_F3_210803_ZMB	ZMB	above_max	222	0.00348557881019296
SRTP_A_F1_210903_ZMB	ZMB	above_max	213	0.00330334987593052
SRTP_A_M2_211203_ZMB	ZMB	below_min	2302	0.0459912492757677
SRTP_A_M4_210317_ZHMW	ZHMW	below_min	849	0.0261206657846968
SRTP_A_F4_211203_ZMB	ZMB	above_max	171	0.00334906676589827
SRTP_A_M1_210903_ZMB	ZMB	below_min	1949	0.0311232474210341
SRTP_A_M3_210903_ZMB	ZMB	above_max	170	0.00339389099620683
SRTP_A_F1_210330_ZMB	ZMB	above_max	182	0.00341713448865023
SRTP_A_M1_210415_ZHMW	ZHMW	above_max	300	0.00384926286616113
SRTP_A_M2_210330_ZHMW	ZHMW	above_max	256	0.00555555555555556
SRTP_A_F3_210401_ZHMW	ZHMW	above_max	220	0.00544433170828281
SRTP_A_F3_210704_ZHMW	ZHMW	above_max	337	0.00254239845494598
SRTP_A_M4_210401_ZMB	ZMB	above_max	179	0.00350300397268048
SRTP_A_F1_210317_ZHMW	ZHMW	above_max	212	0.00313183241742008
SRTP_A_F4_210413_ZMB	ZMB	above_max	315	0.00496767071439836
SRTP_A_F3_211203_ZMB	ZMB	above_max	320	0.00562311098615309
SRTP_A_M4_210704_ZHMW	ZHMW	below_min	799	0.0327862125564218
SRTP_A_M4_210803_ZHMW	ZHMW	above_max	173	0.00349142280524723
SRTP_A_M2_210704_ZMB	ZMB	above_max	474	0.00469944380000595
SRTP_A_F1_210330_ZHMW	ZHMW	above_max	540	0.00436116943950896
SRTP_A_F3_210803_ZHMW	ZHMW	above_max	479	0.00429484708013163
SRTP_A_M4_210317_ZMB	ZMB	above_max	153	0.00302610759493671
SRTP_A_F3_210413_ZMB	ZMB	above_max	239	0.00357950545912025
SRTP_A_M1_210903_ZMB	ZMB	above_max	336	0.00536552649228706
SRTP_A_F2_210316_ZHMW	ZHMW	above_max	229	0.00337225911908934
SRTP_A_M1_210412_ZMB	ZMB	above_max	196	0.00381248784283213
SRTP_A_F4_211203_ZHMW	ZHMW	above_max	224	0.00322761919857063
SRTP_A_M3_210414_ZMB	ZMB	above_max	277	0.00492549521675735
SRTP_A_F2_210413_ZMB	ZMB	above_max	172	0.00338229799618508
SRTP_A_M3_210903_ZHMW	ZHMW	above_max	90	0.00368792001311261
SRTP_A_M1_210317_ZMB	ZMB	above_max	419	0.00406287271281599
