Filename	Count	Bases	Mean	Median	SD	Min	Max
SRTP_A_M3_210903_ZHMW	24404	36973960	1515.077856	1558	220.825142	148	3584
SRTP_A_F3_210323_ZMB	259362	410961698	1584.510059	1624	184.769782	103	7152
SRTP_A_M2_211203_ZHMW	67395	102769117	1524.877469	1570	231.623493	90	6456
SRTP_A_F1_210728_ZMB	319416	497523539	1557.603686	1583	169.97442	119	4994
SRTP_A_F1_210214_ZMB	354775	550073387	1550.4852	1577	177.02744	117	4975
SRTP_A_F1_210603_ZMB	326678	508666786	1557.089201	1579	159.959395	104	12430
SRTP_A_F2_210915_ZMB	245827	384513298	1564.162187	1593	188.07283	123	5197
SRTP_A_M2_210415_ZMB	120688	186286629	1543.538952	1577	213.164742	105	6367
SRTP_A_M2_210704_ZMB	100863	156236410	1548.996262	1578	207.175601	110	6339
SRTP_A_F1_210830_ZMB	303672	474586027	1562.824452	1587	168.882336	123	9492
SRTP_A_M3_210414_ZMB	56238	87010308	1547.179985	1578	209.806766	131	4857
SRTP_A_M3_210903_ZMB	50090	72687027	1451.128509	1567	320.581829	133	4558
SRTP_A_F1_210201_ZMB	370709	577909951	1558.931537	1605	207.1513	125	4828
SRTP_A_M4_210317_ZHMW	32503	50104765	1541.542781	1571	197.146147	112	3302
SRTP_A_M4_210401_ZHMW	28281	43902336	1552.361515	1578	185.724295	141	3794
SRTP_A_F3_210329_ZMB	317568	489041980	1539.959883	1618	261.208316	105	5149
SRTP_A_M4_210704_ZHMW	24370	37124465	1523.36746	1560	217.15197	123	3267
SRTP_A_F2_210426_ZMB	303160	472070080	1557.164797	1585	172.894003	103	4075
SRTP_A_M3_211203_ZMB	47206	72514373	1536.126192	1574	207.842925	145	4669
SRTP_A_M4_210317_ZMB	50560	77810550	1538.974486	1572	197.742963	117	3863
SRTP_A_F2_210927_ZMB	335581	528613081	1575.217551	1602	193.059106	104	5027
SRTP_A_F3_210225_ZMB	331402	509364244	1536.998099	1567	201.206657	120	11465
SRTP_A_M4_210401_ZMB	51099	78803094	1542.165091	1571	196.042461	117	4008
SRTP_A_F1_210221_ZMB	407029	624772123	1534.957271	1574	200.483718	110	7098
SRTP_A_M4_210803_ZHMW	49550	76884442	1551.653724	1577	196.425166	99	6596
SRTP_A_M4_210803_ZMB	61809	94534779	1529.466243	1571	217.681776	121	4444
SRTP_A_M3_211203_ZHMW	112462	174539084	1551.98275	1574	191.396444	123	6056
SRTP_A_F3_210304_ZMB	347737	539906694	1552.629412	1576	194.533871	105	5968
SRTP_A_F1_210927_ZMB	396298	620338107	1565.332419	1589	164.542207	118	4969
SRTP_A_F1_210915_ZMB	411046	639944375	1556.868027	1580	164.697128	103	5420
SRTP_A_F2_210803_ZMB	397633	591155641	1486.68657	1565	282.471944	113	6508
SRTP_A_F3_210729_ZMB	345590	542502496	1569.786441	1605	183.952574	98	7390
SRTP_A_F3_210220_ZMB	351323	542813910	1545.056572	1570	193.116449	113	4958
SRTP_A_F3_211013_ZMB	328063	507669390	1547.475302	1578	182.766207	94	5154
SRTP_A_F2_210831_ZMB	353227	542112833	1534.743474	1597	248.774581	120	4887
SRTP_A_F2_210603_ZMB	362366	551093256	1520.819437	1571	220.054049	120	5945
SRTP_A_M1_201024_ZMB	303370	473426467	1560.557956	1587	167.828709	116	5248
SRTP_A_M3_210414_ZHMW	156597	240935238	1538.56867	1569	219.985258	115	6268
SRTP_A_F2_211027_ZMB	402430	620159018	1541.035753	1575	214.998944	121	22425
SRTP_A_F4_210929_ZMB	318088	494628997	1555.006781	1576	183.811838	108	5265
SRTP_A_M4_210704_ZMB	118846	184484514	1552.298891	1575	206.106122	112	18956
SRTP_A_F3_211028_ZMB	360427	551376643	1529.787288	1571	220.957321	92	7854
SRTP_A_M1_210829_ZMB	300405	469068647	1561.454194	1586	166.200552	142	5125
SRTP_A_F2_211012_ZMB	370792	576717048	1555.365402	1584	195.920652	107	4887
SRTP_A_M2_210221_ZMB	304572	468503751	1538.236447	1573	192.089303	99	4924
SRTP_A_M2_210213_ZMB	323973	505267279	1559.596877	1588	193.392057	111	4930
SRTP_A_F4_211013_ZMB	372477	577810061	1551.263732	1571	189.940871	118	5042
SRTP_A_M1_210303_ZMB	359775	557217108	1548.793296	1579	183.100192	122	5564
SRTP_A_M2_210201_ZMB	348006	540249819	1552.415243	1579	171.268449	95	12631
SRTP_A_F3_210214_ZMB	424649	641650996	1511.01497	1565	255.940701	102	6306
SRTP_A_M2_210729_ZMB	287720	442280105	1537.189299	1583	222.743911	111	5500
SRTP_A_M3_210202_ZMB	296470	458727996	1547.299882	1575	194.133406	113	4943
SRTP_A_F4_210831_ZMB	419415	648541714	1546.300714	1567	193.086194	117	4905
SRTP_A_M2_210305_ZMB	363613	554875966	1526.006952	1579	242.672756	121	5438
SRTP_A_F4_210224_ZMB	431800	665136863	1540.381804	1570	202.681539	98	4837
SRTP_A_F4_210729_ZMB	428279	673412762	1572.369325	1594	185.010925	113	5061
SRTP_A_M3_210213_ZMB	319892	491845435	1537.535903	1588	234.820369	116	4986
SRTP_A_M1_211012_ZMB	420921	650915753	1546.408359	1584	193.261979	121	4698
SRTP_A_M2_211027_ZMB	362252	560582615	1547.493499	1574	197.200377	106	27038
SRTP_A_F4_211026_ZMB	480652	748292444	1556.8279	1577	184.631933	98	5405
SRTP_A_F4_210214_ZMB	503569	773863865	1536.758349	1572	216.771155	105	16298
SRTP_A_M4_210301_ZMB	323785	498947323	1540.98344	1579	214.861484	97	5679
SRTP_A_M1_210928_ZMB	475147	737608930	1552.380484	1587	212.478931	100	5418
SRTP_A_M3_210223_ZMB	379450	583501754	1537.756632	1576	217.425006	112	6004
SRTP_A_M2_210227_ZMB	470599	697335510	1481.804062	1568	389.652933	108	175135
SRTP_A_M2_210829_ZMB	433357	651406629	1503.163971	1574	272.627426	128	6444
SRTP_A_M3_211028_ZMB	377657	587243688	1554.965718	1573	180.949008	112	11292
SRTP_A_M2_210928_ZMB	437015	676786376	1548.657085	1576	197.872442	115	6910
SRTP_A_M2_211012_ZMB	421983	660081175	1564.236415	1584	184.556397	106	5235
SRTP_A_M3_210928_ZMB	404068	625517599	1548.050326	1570	188.543061	94	5005
SRTP_A_M4_211013_ZMB	375467	566658879	1509.210873	1576	261.934487	96	12601
SRTP_A_M2_210915_ZMB	478522	719288057	1503.14522	1572	268.24669	124	10522
SRTP_A_M4_211027_ZMB	387706	597070721	1540.008978	1567	202.67587	120	30680
SRTP_A_M4_210927_ZMB	388916	584033398	1501.695477	1568	261.446104	120	10659
SRTP_A_M4_210214_ZMB	426356	658088737	1543.519352	1579	214.752074	118	20122
	 28 186 742 	 43 445 517 312 					
