sample	biosample	DNA_isolation_method	project	sample_accession	secondary_sample_accession	Sex	Date	Sample_name	Dog	Read count
SRTP_A_F3_210317_ZMB	ERR13927299	ZMB	PRJEB82097	SAMEA116348965	ERS21409642	F	210317	F3_210317	F3	94926
SRTP_A_F3_210401_ZHMW	ERR13927335	ZHMW	PRJEB82097	SAMEA116348968	ERS21409645	F	210401	F3_210401	F3	40409
SRTP_A_F3_210401_ZMB	ERR13927337	ZMB	PRJEB82097	SAMEA116348969	ERS21409646	F	210401	F3_210401	F3	42105
SRTP_A_F3_210413_ZHMW	ERR13927339	ZHMW	PRJEB82097	SAMEA116348970	ERS21409647	F	210413	F3_210413	F3	32070
SRTP_A_F3_210413_ZMB	ERR13927340	ZMB	PRJEB82097	SAMEA116348971	ERS21409648	F	210413	F3_210413	F3	66769
SRTP_A_F3_210704_ZHMW	ERR13927346	ZHMW	PRJEB82097	SAMEA116348973	ERS21409650	F	210704	F3_210704	F3	132552
SRTP_A_F3_210704_ZMB	ERR13927348	ZMB	PRJEB82097	SAMEA116348974	ERS21409651	F	210704	F3_210704	F3	116984
SRTP_A_F3_210803_ZHMW	ERR13927355	ZHMW	PRJEB82097	SAMEA116348976	ERS21409653	F	210803	F3_210803	F3	111529
SRTP_A_F3_210803_ZMB	ERR13927357	ZMB	PRJEB82097	SAMEA116348977	ERS21409654	F	210803	F3_210803	F3	63691
SRTP_A_F3_211003_ZHMW	ERR13927361	ZHMW	PRJEB82097	SAMEA116348978	ERS21409655	F	211003	F3_211003	F3	112393
SRTP_A_F3_211003_ZMB	ERR13927362	ZMB	PRJEB82097	SAMEA116348979	ERS21409656	F	211003	F3_211003	F3	60656
SRTP_A_F3_211203_ZHMW	ERR13927370	ZHMW	PRJEB82097	SAMEA116348982	ERS21409659	F	211203	F3_211203	F3	136981
SRTP_A_F3_211203_ZMB	ERR13927371	ZMB	PRJEB82097	SAMEA116348983	ERS21409660	F	211203	F3_211203	F3	56908
SRTP_A_M3_210414_ZHMW	ERR13927502	ZHMW	PRJEB82097	SAMEA116348987	ERS21409664	M	210414	M3_210414	M3	156597
SRTP_A_M3_210414_ZMB	ERR13927503	ZMB	PRJEB82097	SAMEA116348988	ERS21409665	M	210414	M3_210414	M3	56238
SRTP_A_M3_210903_ZHMW	ERR13927504	ZHMW	PRJEB82097	SAMEA116348989	ERS21409666	M	210903	M3_210903	M3	24404
SRTP_A_M3_210903_ZMB	ERR13927505	ZMB	PRJEB82097	SAMEA116348990	ERS21409667	M	210903	M3_210903	M3	50090
SRTP_A_M3_211203_ZHMW	ERR13927531	ZHMW	PRJEB82097	SAMEA116348993	ERS21409670	M	211203	M3_211203	M3	112462
SRTP_A_M3_211203_ZMB	ERR13927532	ZMB	PRJEB82097	SAMEA116348994	ERS21409671	M	211203	M3_211203	M3	47206
SRTP_A_F4_210317_ZHMW	ERR13927381	ZHMW	PRJEB82097	SAMEA116348997	ERS21409674	F	210317	F4_210317	F4	32963
SRTP_A_F4_210317_ZMB	ERR13927382	ZMB	PRJEB82097	SAMEA116348998	ERS21409675	F	210317	F4_210317	F4	41814
SRTP_A_F4_210330_ZHMW	ERR13927383	ZHMW	PRJEB82097	SAMEA116348999	ERS21409676	F	210330	F4_210330	F4	44552
SRTP_A_F4_210330_ZMB	ERR13927386	ZMB	PRJEB82097	SAMEA116349000	ERS21409677	F	210330	F4_210330	F4	43774
SRTP_A_F4_210413_ZHMW	ERR13927388	ZHMW	PRJEB82097	SAMEA116349001	ERS21409678	F	210413	F4_210413	F4	163624
SRTP_A_F4_210413_ZMB	ERR13927389	ZMB	PRJEB82097	SAMEA116349002	ERS21409679	F	210413	F4_210413	F4	63410
SRTP_A_F4_210704_ZHMW	ERR13927390	ZHMW	PRJEB82097	SAMEA116349003	ERS21409680	F	210704	F4_210704	F4	33949
SRTP_A_F4_210704_ZMB	ERR13927392	ZMB	PRJEB82097	SAMEA116349004	ERS21409681	F	210704	F4_210704	F4	121264
SRTP_A_F4_211203_ZHMW	ERR13927406	ZHMW	PRJEB82097	SAMEA116349010	ERS21409687	F	211203	F4_211203	F4	69401
SRTP_A_F4_211203_ZMB	ERR13927407	ZMB	PRJEB82097	SAMEA116349011	ERS21409688	F	211203	F4_211203	F4	51059
