sample	DNA_isolation_method	n_reads	total_bases	mean_len	median_len	n50_len	max_len	min_len	mean_Q	median_Q
SRTP_A_M3_210903_ZMB	ZMB	50090	72636937	1450.12850868437	1566	1570	4557	132	19.7640826891595	19.9592
SRTP_A_M3_211203_ZHMW	ZHMW	112462	174426622	1550.9827497288	1573	1574	6055	122	18.8938502578649	18.9749
SRTP_A_M3_211203_ZMB	ZMB	47206	72467167	1535.12619158582	1573	1574	4668	144	19.8849832203533	20.0915
SRTP_A_F4_210317_ZHMW	ZHMW	32963	50695567	1537.95367533295	1572	1574	3377	117	19.2049850165337	19.3626
SRTP_A_F4_210317_ZMB	ZMB	41814	63041892	1507.674271775	1562	1564	3371	132	18.3232829459033	18.2977
SRTP_A_F4_210330_ZHMW	ZHMW	44552	69146729	1552.04545250494	1575	1576	6241	145	18.6734523747531	18.83345
SRTP_A_F4_210330_ZMB	ZMB	43774	66123800	1510.57248595056	1562	1564	4753	93	19.301183001325	19.45425
SRTP_A_F4_210413_ZHMW	ZHMW	163624	253886194	1551.64397643378	1580	1582	6029	105	18.7374041442576	18.8408
SRTP_A_F4_210413_ZMB	ZMB	63410	97595955	1539.12561110235	1573	1574	3849	100	19.8008889449614	19.9759
SRTP_A_F4_210704_ZHMW	ZHMW	33949	52844061	1556.57194615453	1583	1584	6608	123	18.0255755103243	18.1171
SRTP_A_F4_210704_ZMB	ZMB	121264	188063705	1550.86179740071	1574	1575	5122	101	19.6049103287043	19.7633
SRTP_A_F4_211203_ZHMW	ZHMW	69401	105654487	1522.37701185862	1570	1571	6338	116	18.5721475425426	18.5695
SRTP_A_F4_211203_ZMB	ZMB	51059	78540507	1538.23041971053	1573	1575	3314	139	20.0267234199651	20.2385
