feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Bacteroidetes.Bacteroidia	source	Canis_lupus	-2.10496485875847	0.204787118436447	27	27	2.8652294596602e-10	7.75297383202172e-10
Bacteria.Proteobacteria.Deltaproteobacteria	source	Canis_lupus	-3.79544713599212	0.409387360296948	27	21	2.11017425716811e-09	5.39266754609629e-09
Bacteria.Bacteroidetes.Bacteroidia	source	Homo_sapiens	1.47107394539409	0.204787118436447	27	27	2.00877413863834e-07	4.81962946333617e-07
Bacteria.Firmicutes.Bacilli	source	Homo_sapiens	-0.771746310169094	0.107707240528973	27	27	2.09549107101573e-07	4.81962946333617e-07
Bacteria.Proteobacteria.Betaproteobacteria	source	Canis_lupus	2.40329085312975	0.342968490996518	27	27	3.02852146145106e-07	6.63390415365471e-07
Bacteria.Firmicutes.unassigned	source	Canis_lupus	-1.14826512119742	0.186314415362755	27	7	2.28496788933572e-06	4.56993577867145e-06
Bacteria.Firmicutes.unassigned	source	Homo_sapiens	-1.14826512119742	0.186314415362755	27	7	2.28496788933572e-06	4.56993577867145e-06
Bacteria.Proteobacteria.Alphaproteobacteria	source	Homo_sapiens	1.8853904197173	0.319276090117818	27	27	4.30368763708292e-06	8.24873463774226e-06
Bacteria.Firmicutes.Clostridia	source	Homo_sapiens	-0.133631717647974	0.0236672812656783	27	27	8.18051388472272e-06	1.50521455478898e-05
Bacteria.Firmicutes.Tissierellia	source	Canis_lupus	-2.01482475326001	0.434197031965425	27	7	0.000103634592518117	0.000183353509839745
Bacteria.Firmicutes.Negativicutes	source	Homo_sapiens	0.335162016397503	0.0739123131721595	27	27	0.000135631246916689	0.000231075457709915
Bacteria.Tenericutes.Mollicutes	source	Canis_lupus	-1.09527545474012	0.243231508434072	27	18	0.000146976508349074	0.000241461406573479
Bacteria.Firmicutes.Tissierellia	source	Homo_sapiens	-1.90371364214889	0.434197031965425	27	7	0.000198717550753698	0.000315207149471383
Bacteria.Firmicutes.Erysipelotrichia	source	Canis_lupus	0.966296022095628	0.288805414709678	27	27	0.00269263289333819	0.00412870376978522
Bacteria.Proteobacteria.Gammaproteobacteria	source	Canis_lupus	0.991883164915713	0.309571543439177	27	27	0.00380319363402361	0.00564344861822858
Bacteria.Cyanobacteria.Gloeobacteria	source	Canis_lupus	-0.423187178201889	0.175728493319357	27	3	0.0240741570570531	0.0335579158977104
Bacteria.Cyanobacteria.Gloeobacteria	source	Homo_sapiens	-0.423187178201889	0.175728493319357	27	3	0.024074157057053	0.0335579158977104
Bacteria.Fusobacteria.Fusobacteriia	source	Homo_sapiens	0.718685205922764	0.335734495900523	27	26	0.0426691881930368	0.0577289016729322
Bacteria.Actinobacteria.Coriobacteriia	source	Canis_lupus	1.28335128399098	0.657609081429763	27	27	0.0627577855002644	0.0824816609432047
Bacteria.Cyanobacteria.unassigned	source	Canis_lupus	-0.231406187576832	0.125100105335459	27	2	0.0766990261455011	0.0953555460187311
Bacteria.Cyanobacteria.unassigned	source	Homo_sapiens	-0.231406187576832	0.125100105335459	27	2	0.0766990261455011	0.0953555460187311
Bacteria.Proteobacteria.Betaproteobacteria	source	Homo_sapiens	0.615709323052772	0.342968490996518	27	27	0.0852205005384812	0.103161658546583
Bacteria.Proteobacteria.Gammaproteobacteria	source	Homo_sapiens	-0.329632404013342	0.309571543439177	27	27	0.29756153838738	0.350970019636397
Bacteria.Proteobacteria.Alphaproteobacteria	source	Canis_lupus	-0.277523970933996	0.319276090117818	27	27	0.393332150548153	0.452331973130375
Bacteria.Actinobacteria.Actinobacteria	source	Homo_sapiens	1.14089552119876	1.43807101639318	27	27	0.435346937171892	0.488438027070903
Bacteria.Proteobacteria.Deltaproteobacteria	source	Homo_sapiens	-0.258562783710451	0.409387360296948	27	21	0.533628437516564	0.584450193470522
Bacteria.Actinobacteria.Actinobacteria	source	Canis_lupus	-0.723982650881043	1.43807101639318	27	27	0.619244485230227	0.662447588850941
Bacteria.Actinobacteria.Coriobacteriia	source	Homo_sapiens	0.150425917223479	0.657609081429763	27	27	0.821003733728502	0.858322085261616
Bacteria.Deferribacteres.Deferribacteres	source	Homo_sapiens	3.46856362519597e-15	0.0994374884413561	27	9	0.999999999999972	0.999999999999972
Bacteria.Proteobacteria.Epsilonproteobacteria	source	Homo_sapiens	3.38501438432751e-15	0.0739311914021902	27	9	0.999999999999964	0.999999999999972
