superkingdom	phylum	class	order	family	genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ercella	0	0	0	27.3433135788461	0	0	0	0	18.3166254110253
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium	708.343393798642	397.086357298401	447.729479489846	1661.411598517	585.273536520346	861.039601458668	480.786973508549	247.765093093832	650.11557762071
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Pseudoclostridium	0	0	0	25.7445018665008	0	15.1497268989082	0	0	16.0120076365791
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	unassigned	76.6564174798966	59.7764771891873	66.5224278426081	142.028901306888	70.8048659493172	89.6120600836209	31.1455980196605	37.3393525943354	50.954463527734
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobium	0	11.5644433044718	0	18.9435202887176	14.292706840748	14.2114045327456	0	0	11.3208966368011
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	13220.6794788	10176.5198687537	8032.43028217897	25398.0402596581	10270.1474821578	13265.3989654881	10724.112705271	6773.43814947845	15654.2761691566
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	6405.81756347855	5373.89275380725	3976.4929636143	14446.7834075004	6718.83351676305	7853.32789034191	4314.04110060867	3302.6440527024	6414.16540481136
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	2360.72248914126	1680.22227628376	1618.03892460418	5758.83761610642	2068.48014082077	3328.11933070385	1725.41457225514	1007.63595214255	2921.17565313121
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Bariatricus	24.6833614111585	23.7581370839757	18.4171045021154	45.4214441593998	16.4593636644534	40.3543310148419	15.4600053916295	11.2281859149363	31.4973588232692
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	177052.774650982	122068.911344119	107498.845218898	383210.407490653	144958.103889174	197291.451459512	118025.939671886	71912.7511394605	166478.771521547
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Caecibacterium	46.8340721207244	23.3428676800664	24.4078115501757	75.1794950386117	37.2318366001743	34.0350636149227	16.0233846608769	17.0318493021509	34.8381078185216
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	33.3261294336712	28.0720774418826	44.8329591660153	103.855917183646	60.1657113184898	50.1219846466108	41.7802873239705	19.55669417727	36.5637177763768
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cuneatibacter	213.029545026914	151.52771337934	156.520447501039	485.165939094868	222.459077139558	276.360447822697	131.401686302258	98.5193755280169	235.965641428641
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	12315.1771156224	10475.7713490043	7484.52951091816	27890.5026917958	13249.1121503059	15086.4981446523	8110.74849113119	6187.25619374167	12079.6645578522
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	884.199136744918	613.52607971169	573.797888666203	2053.21387257272	754.111538064037	1060.94056260595	578.278037592758	328.278757133434	885.077745927091
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	4487.92453288957	2678.29632537074	2677.84239570161	10069.7136017704	3638.90640039739	5634.35500882645	3128.82826668443	1615.3040059941	4639.02114653414
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	1405.01808017589	962.827484738404	884.471430014421	3212.23764100023	1139.28333387135	1809.50828433314	941.214725075777	599.528048415956	1435.03089367275
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	254.660010168943	149.112291335486	141.377045830539	619.401413759887	214.799531315507	301.20728697559	150.817507699805	78.8040922954225	197.581327404302
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Frisingicoccus	249.323932363702	195.631824884524	168.52585212406	546.382408249064	262.692284475775	307.150416987267	157.828371016629	119.85160914626	247.147430383228
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	6183.697767765	4210.9579219397	3738.05493712623	14336.1505841098	5212.84126431662	7326.53429674588	4031.95264403033	2475.17802481493	5779.80675806097
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Hespellia	21.4540119913062	25.1075145026358	15.2069069433518	56.5548914817196	31.7931882476358	26.2014160942472	15.6297403355794	11.7757112066642	22.0766357439257
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	4171.66268169115	2733.14486062072	2714.30040259406	9829.313535333	3387.7971623319	5200.74101875265	2969.27995613849	1524.54338853823	4413.08725969877
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	1182.83296427867	661.501113831025	615.445302560244	3048.52180586777	997.654988356642	1403.21601468007	902.411845269698	470.860503275165	1200.9340716687
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	3935.11787332558	2503.30693416131	2543.8461317412	8430.10180532795	2776.32312309646	4392.71137726689	2695.84829332271	1450.47601571019	3945.92467633331
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	12401.9142398892	9559.53450628773	7672.24886481377	27947.7604137182	11803.435664171	14677.7032460605	8409.03142795954	5782.11636422949	11906.3829712838
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Merdimonas	0	11.2692336493109	0	13.3209042350932	10.3379335316151	0	0	0	0
