feature	Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales	Bacteria.Actinobacteria.Actinobacteria.Corynebacteriales	Bacteria.Actinobacteria.Actinobacteria.Micrococcales	Bacteria.Actinobacteria.Actinobacteria.Propionibacteriales	Bacteria.Actinobacteria.Actinobacteria.Streptomycetales	Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales	Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales	Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	Bacteria.Cyanobacteria.Gloeobacteria.Gloeobacterales	Bacteria.Cyanobacteria.unassigned.Oscillatoriales	Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	Bacteria.Firmicutes.Bacilli.Bacillales	Bacteria.Firmicutes.Bacilli.Lactobacillales	Bacteria.Firmicutes.Clostridia.Clostridiales	Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales	Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	Bacteria.Firmicutes.Negativicutes.Acidaminococcales	Bacteria.Firmicutes.Negativicutes.Selenomonadales	Bacteria.Firmicutes.Negativicutes.Veillonellales	Bacteria.Firmicutes.Tissierellia.Tissierellales	Bacteria.Firmicutes.unassigned.unassigned	Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales	Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales	Bacteria.Proteobacteria.Alphaproteobacteria.Sneathiellales	Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales	Bacteria.Proteobacteria.Deltaproteobacteria.Bradymonadales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales	Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales	Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales	Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales	Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales	Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales	Bacteria.Synergistetes.Synergistia.Synergistales	Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	Bacteria.Tenericutes.Mollicutes.Anaeroplasmatales	Bacteria.Tenericutes.Mollicutes.Mycoplasmatales	Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales
PRMT_CO2_canis_ONT_20240807_bc02	-13.2479481601159	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-9.94988819901035	-12.1219487447944	-7.2676441041887	-12.7855877467736	-16.6115659685739	-16.6085560007005	-13.3705502474831	-9.06828948015664	-1.74004145258649	-0.751247776550697	-15.4339490071251	-6.14303578487232	-5.56619253627002	-4.73132440101701	-9.28160780519204	-16.944725427895	-15.3322013945314	-6.13758859788963	-13.2722056062948	-15.6896858446037	-13.7858671129829	-15.7407124661441	-15.5607939450603	-12.9109662700688	-15.8119528788744	-8.1956245649824	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.1228748333927	-9.20062524604076	-8.88138123162988	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-11.9480302680463	-15.003773444218	-17.404762356635
PRMT_CO3_canis_ONT_20240807_bc03	-14.0217125539679	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-10.0194345493571	-12.3814722135151	-7.05248112714809	-12.5017662073269	-16.6115659685739	-16.6085560007005	-14.1184375677754	-9.17932298781973	-1.98722693123078	-0.688282349689765	-15.4339490071251	-6.26812320750003	-5.12431747242955	-4.41903463358799	-9.21469629194837	-16.944725427895	-15.3322013945314	-5.80414742155526	-13.2722056062948	-15.6896858446037	-12.7034640734975	-15.7407124661441	-15.5607939450603	-13.2178818105363	-15.8119528788744	-7.88621179416187	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.4696074115092	-9.64162554410863	-8.75535539531518	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-11.7399259445217	-15.003773444218	-17.404762356635
PRMT_CP1_canis_PB_20240807_bc31	-8.39508115930902	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-6.91228831422589	-10.5958383397037	-6.60875478975933	-12.5127959584451	-16.6115659685739	-16.6085560007005	-13.9087246358803	-8.72818918723656	-1.90728383043565	-0.690198859277577	-15.4339490071251	-6.89251926119152	-5.51335362229121	-4.67587664971872	-8.78161205739764	-16.944725427895	-15.3322013945314	-7.3541336625847	-13.2722056062948	-15.6896858446037	-16.7012355352078	-15.7407124661441	-15.5607939450603	-12.5716896486027	-15.8119528788744	-6.80794622535983	-15.6872706204414	-14.906397673135	-16.0709025380029	-13.0116986106291	-10.927833458828	-9.80792360267482	-15.0431813841332	-14.4562124311828	-14.3386121274596	-13.386750677944	-12.7990923171347	-15.003773444218	-14.6972205306866
PRMT_CP2_canis_PB_20240807_bc32	-8.30836290038801	-15.6533347876892	-16.0709025380029	-15.2862175406447	-15.6195409490154	-6.97317142085326	-10.6716586897177	-6.76419683728693	-13.0184919261228	-16.6115659685739	-16.6085560007005	-13.4211471207308	-8.73665730964944	-1.81536975418886	-0.710394603484051	-15.4339490071251	-6.68478771371564	-5.71172895379799	-4.86685581411587	-9.16089659028277	-16.944725427895	-15.3322013945314	-7.32662913644068	-13.2722056062948	-15.6896858446037	-14.0698069774837	-15.7407124661441	-15.5607939450603	-13.1517971118301	-15.8119528788744	-6.97012984322259	-15.6872706204414	-14.906397673135	-14.5700105066453	-12.6486017435312	-10.5780719806383	-10.000299960477	-15.0431813841332	-14.7716443678149	-14.3386121274596	-13.386750677944	-12.6833002717822	-15.003773444218	-17.404762356635
PRMT_CP3_canis_PB_20240807_bc33	-8.67362528679676	-15.6533347876892	-16.0709025380029	-14.9249338307656	-15.6195409490154	-6.96440835815496	-10.9235886839847	-6.36598614609325	-12.5263844542754	-16.6115659685739	-16.6085560007005	-12.9581006947008	-9.49213763360131	-2.09004855348446	-0.647240865459245	-15.4339490071251	-6.79850544502163	-5.26532441389975	-4.46758349974351	-9.62104528245676	-16.944725427895	-15.3322013945314	-6.97391484590468	-13.2722056062948	-15.6896858446037	-13.4436637168263	-15.7407124661441	-15.5607939450603	-12.5695942375823	-15.8119528788744	-6.56803305939357	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.5018128991419	-10.8145096949634	-10.5114554562047	-15.0431813841332	-14.2969026081526	-14.3386121274596	-13.386750677944	-12.6839257013345	-15.003773444218	-17.404762356635
PRMT_LM1_canis_MONT_20240807_bc16	-8.2771065658809	-15.6533347876892	-16.0709025380029	-13.8584598476019	-15.6195409490154	-5.75748113633592	-9.06727777788811	-6.35076334268111	-12.3666067512722	-16.6115659685739	-16.6085560007005	-13.4661424248231	-9.24953604243587	-1.90779757011294	-0.699262040118119	-15.4339490071251	-8.00116638587643	-5.46115476724871	-4.66831942824237	-9.57308531014132	-16.944725427895	-15.3322013945314	-7.692295991946	-13.2722056062948	-15.6896858446037	-13.5365631377976	-15.7407124661441	-15.5607939450603	-12.536516060429	-15.8119528788744	-7.28008715631327	-15.6872706204414	-14.906397673135	-16.0709025380029	-12.24243368783	-12.2437500034867	-10.8361140363101	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-13.6885387599858	-15.003773444218	-17.404762356635
PRMT_LM2_canis_MONT_20240807_bc17	-8.19889589852015	-15.6533347876892	-15.0709025380029	-14.1895470345015	-15.6195409490154	-5.80686730020801	-9.00787119818574	-6.55514134432418	-12.9260450727946	-16.6115659685739	-16.6085560007005	-13.9265126286677	-8.8474565235468	-1.794928936414	-0.729161452954912	-15.4339490071251	-7.85907293044381	-5.63936472374906	-4.86418346503892	-9.08462411531062	-16.944725427895	-15.3322013945314	-7.90739747544636	-13.2722056062948	-15.6896858446037	-13.4334117246684	-14.7407124661441	-15.5607939450603	-12.2313832936604	-15.8119528788744	-7.42135260574215	-15.6872706204414	-14.906397673135	-15.0709025380029	-12.5866173663391	-12.1792786990477	-10.2288045012453	-15.0431813841332	-14.411939455838	-14.3386121274596	-13.386750677944	-13.5909095968027	-15.003773444218	-15.411939455838
PRMT_LM3_canis_MONT_20240807_bc18	-8.53548683729867	-15.6533347876892	-16.0709025380029	-14.3231645756065	-15.6195409490154	-5.89797500737627	-9.22804025927291	-6.18897843304135	-12.5160710689983	-16.6115659685739	-16.6085560007005	-13.3231645756065	-9.12118556392468	-2.04927487323554	-0.670298002427696	-15.4339490071251	-7.99145589370348	-5.20068868490002	-4.45070843913374	-9.2343945551026	-16.944725427895	-15.3322013945314	-7.62024982676716	-13.2722056062948	-15.6896858446037	-13.2202241219203	-14.5671652904344	-15.5607939450603	-11.6611624445535	-15.8119528788744	-7.0298081613486	-15.6872706204414	-14.906397673135	-14.430079779523	-12.7920114374288	-12.2725385643932	-10.2209867251487	-15.0431813841332	-14.8085914027767	-14.3386121274596	-13.386750677944	-13.2477662501922	-15.003773444218	-17.404762356635
PRMT_HM1_human_MONT_20240807_bc28	-5.76355226809855	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.11597769941789	-10.0100849526255	-3.00001204873537	-12.1392941177036	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.00192625376813	-9.1608082517498	-0.289306925681494	-15.4339490071251	-11.7201265120128	-5.37424053609076	-12.0485881076646	-9.86917134564479	-16.944725427895	-15.3322013945314	-12.8299660813245	-13.2722056062948	-15.6896858446037	-16.7012355352078	-10.3882050957534	-15.5607939450603	-10.7550592527843	-14.2592045006963	-9.28131310914437	-15.6872706204414	-14.906397673135	-11.5131089759846	-14.0116986106291	-13.2725385643932	-10.6303082126483	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-17.404762356635
PRMT_HM2_human_MONT_20240807_bc29	-5.96294811836847	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-7.69235766799707	-9.57768210862964	-3.12319850367613	-11.8569007644593	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.10367979786631	-9.64681626584402	-0.266755238492132	-15.4339490071251	-11.6955293828152	-5.45092002416463	-12.9914358000924	-10.0437976507784	-16.944725427895	-15.3322013945314	-13.5357563163162	-13.2722056062948	-15.6896858446037	-16.7012355352078	-10.0478326949081	-15.5607939450603	-10.7629130021265	-13.8953247179692	-9.24420187047233	-15.6872706204414	-14.906397673135	-11.2138282214288	-14.0116986106291	-13.2725385643932	-10.7987905194819	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-17.404762356635
PRMT_HM3_human_MONT_20240807_bc30	-5.98532675510845	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.66496464091254	-9.89856958555353	-2.79147099874046	-12.2072614396708	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.41960861112773	-8.57659844735666	-0.330156040140683	-15.4339490071251	-11.9913292348733	-5.24461820124322	-11.784880174294	-9.047844325595	-16.944725427895	-15.3322013945314	-12.6213814420111	-13.2722056062948	-15.6896858446037	-16.7012355352078	-9.7184592759668	-15.5607939450603	-10.3098723415156	-14.0710514230309	-8.90517440801169	-15.6872706204414	-14.906397673135	-10.4979990265058	-14.0116986106291	-13.2725385643932	-9.70973715962104	-15.0431813841332	-13.8437738633476	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-14.6917707699025
PRMT_HO1_human_ONT_20240807_bc13	-13.3343081582388	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-11.2550152371303	-11.0613192975588	-3.73428445525291	-11.9653297656623	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.19964505994917	-9.57436559818486	-0.170306186984608	-15.4339490071251	-11.1242240074844	-5.16297376794716	-12.7599850325434	-10.3905376615405	-15.944725427895	-15.3322013945314	-13.7266773326016	-13.2722056062948	-15.6896858446037	-15.7012355352078	-10.6616687415169	-15.5607939450603	-11.1456858588119	-14.8119528788744	-10.0262507559824	-15.6872706204414	-14.906397673135	-13.5567614217983	-14.0116986106291	-13.2725385643932	-11.1494228760597	-15.0431813841332	-15.2672588328851	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-16.404762356635
PRMT_HO2_human_ONT_20240807_bc14	-12.3280929250485	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-11.2582953111673	-10.6923746094633	-3.71772533931938	-11.7880078460353	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.52118727498897	-9.0233162984917	-0.171291871601327	-15.4339490071251	-10.8840330352015	-5.34864934244772	-12.0603801164484	-9.54423775170113	-16.944725427895	-15.3322013945314	-13.117713291514	-13.2722056062948	-15.6896858446037	-16.7012355352078	-10.376466339525	-15.5607939450603	-11.0512247943219	-14.1083974153742	-10.2773181076889	-15.6872706204414	-14.906397673135	-14.0792391436997	-14.0116986106291	-13.2725385643932	-10.197927309435	-15.0431813841332	-14.0005453281901	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-17.404762356635
PRMT_HO3_human_ONT_20240807_bc15	-12.9788127527413	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-11.4401821391543	-10.7413452447226	-3.43683719163626	-11.6484121940819	-16.6115659685739	-16.6085560007005	-15.1184375677754	-9.01911876267559	-9.54572529082805	-0.204693105761754	-15.4339490071251	-11.1559931665919	-5.03844720656959	-12.4652125397698	-10.2834774865874	-16.944725427895	-15.3322013945314	-13.8051785198807	-13.2722056062948	-15.6896858446037	-14.7621114469026	-10.075376189779	-15.5607939450603	-10.54985844812	-13.8464871837677	-9.90120583753965	-15.6872706204414	-14.906397673135	-13.1771477333205	-14.0116986106291	-13.2725385643932	-11.0945301179471	-15.0431813841332	-14.6796480738497	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-15.2646105745709
PRMT_HP1_human_PB_20240807_bc43	-5.54067645641535	-14.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.3134985910621	-9.76298015364966	-2.82105917803288	-12.9214640345162	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.69275071157689	-9.031005458898	-0.324514570234862	-15.4339490071251	-10.7216154648729	-5.45697567717258	-12.1767209654799	-9.59560418945117	-16.944725427895	-15.3322013945314	-12.9214640345162	-13.2722056062948	-15.6896858446037	-16.7012355352078	-11.4737999529803	-15.5607939450603	-12.0207930234698	-15.8119528788744	-8.3479191912246	-15.6872706204414	-14.906397673135	-12.1767210897583	-14.0116986106291	-13.2725385643932	-10.4030440730454	-15.0431813841332	-16.2672588328851	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-14.5457407373193
PRMT_HP2_human_PB_20240807_bc44	-5.74266311536591	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.22034040489344	-9.41925643959703	-2.96915552029438	-12.2977844903188	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.77200509025785	-9.36215839535288	-0.291111802689738	-15.4339490071251	-10.8616791069231	-5.58833941287113	-12.8616853755121	-9.6710116283331	-16.944725427895	-15.3322013945314	-13.6848076134281	-13.2722056062948	-15.6896858446037	-16.7012355352078	-12.4020973461718	-15.5607939450603	-11.3768955543666	-15.8119528788744	-8.39372548549346	-15.6872706204414	-14.906397673135	-11.3628795185407	-14.0116986106291	-13.2725385643932	-10.2977844577796	-15.0431813841332	-13.9258157129319	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-17.404762356635
PRMT_HP3_human_PB_20240807_bc45	-5.72937934109662	-15.6533347876892	-16.0709025380029	-16.2862175406447	-15.6195409490154	-8.28963089246148	-9.51701735881995	-2.51883021533138	-12.3017411358252	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.82396514196672	-9.20267442918015	-0.387449284103707	-15.4339490071251	-10.657107434331	-5.3189587284164	-12.190386381691	-9.70639348606945	-16.944725427895	-15.3322013945314	-13.1903863816911	-13.2722056062948	-15.6896858446037	-16.7012355352078	-10.7882658473227	-15.5607939450603	-11.5806299866366	-14.487701898626	-7.91129448471394	-15.6872706204414	-14.906397673135	-11.0867637506169	-14.0116986106291	-13.2725385643932	-10.4435569333223	-15.0431813841332	-14.4230471384813	-14.3386121274596	-13.386750677944	-14.6885387599858	-15.003773444218	-15.4230471384813
