species	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Faecalimonas umbilicata	0.0242164992532225	0.0256135322628602	0.0223896675584292	0.0255510005366092	0.0270082422062434	0.0244170200859961	0.0265317815777681	0.026821493573188	0.0243784419794373
Fusobacterium varium	0.0114480583846547	0.010430799454193	0.0128344145376141	0.00417550064969346	0.00418831988680301	0.0052919459185434	0.00304975854997927	0.00283325356300377	0.00344095250037003
Lachnospira eligens	0.0113024444543118	0.0109796430055482	0.0121341272680316	0.0115976025418896	0.0105275312279871	0.011981324251505	0.0112437153270205	0.00995799946051354	0.0109098739968711
Lachnospiraceae bacterium GAM79	0.00521393660954611	0.00487581444954783	0.00597675556730539	0.00574548559061759	0.00528411289907686	0.0065565611137831	0.00542245760887364	0.00520609633622429	0.00627923673903564
Lactobacillus agilis	0.00951788385449764	0.0104362212473668	0.00895666030392491	0.00894854586129753	0.00928373527243448	0.00773867974221764	0.0089559658910426	0.00943792629534718	0.00822199383414312
Lactobacillus animalis	0.0238034004030767	0.0247788722246042	0.021154613393881	0.0235164805432939	0.0255808783432508	0.0223186125002519	0.0243063188782532	0.0252056922835187	0.0211036326414891
Lactobacillus gallinarum	0.0059542499518065	0.00615549365288289	0.00532319069599764	0.00577447872912369	0.00613531227221662	0.00537528656524759	0.00572030354572593	0.00653909794197102	0.0056241239255727
Lactobacillus salivarius	0.0051506001441819	0.00579387186832713	0.00456022220359477	0.00461077081225916	0.00521937240519794	0.00438308415651622	0.00454966862526563	0.0056444106876267	0.0043273652045306
Megamonas funiformis	0.0285806431937868	0.0257263355145366	0.029426049564018	0.0303875076190256	0.0255060272758757	0.0323755475632015	0.028451160603597	0.0256941695474748	0.0338618182752475
Megamonas rupellensis	0.0128717976867443	0.0110027939738133	0.0176704859943658	0.00876570568896365	0.00881465209813264	0.0124957045460435	0.0109665582501839	0.00860423114115591	0.0119475963048133
