species	Canis_lupus	FR	Homo_sapiens
Clostridium disporicum	71.8537931473228	202.869776306797	
Clostridium jeddahense		77.5870649305278	122.810502946285
Clostridium merdae		193.952604712007	103.740548397922
Clostridium moniliforme	44		
Clostridium perfringens	7596.99303166132	46	
Clostridium saudiense	332.533975131495	4767.21877852002	
Clostridium sp. BNL1100	879.015296273785	598.826357473925	
Clostridium sp. SY8519		53.064693210774	233.086722069779
Clostridium sporogenes		2088.75148205351	2684
Clostridium tertium	25.6122317211823		
Cohaesibacter gelatinilyticus			637.309378646381
Cohaesibacter haloalkalitolerans			70.2194593637191
Cohaesibacter marisflavi			148.557944894598
Colidextribacter massiliensis		2156.4756089405	
Collinsella aerofaciens	61.4370664338715	2296.99999999999	3170
Collinsella intestinalis	15470.753481333	208.002761758913	
Collinsella phocaeensis	261.264475425747		
Collinsella tanakaei	490.540003526056		
Coprobacter fastidiosus		24	978.999819351624
Coprococcus catus		2872.77133441407	
Coprococcus comes	405.837790898107	10395.6973955174	83.4924672607289
Coprococcus eutactus		2137.39361400825	
Cuneatibacter caecimuris	31.3827626429671	19335.570349996	100.562429650689
Dehalobacterium formicoaceticum		187	
Desulfonispora thiosulfatigenes		204.269333046218	
Desulfovibrio desulfuricans		150.563781980859	108.841407760188
Desulfovibrio fairfieldensis		25.4409653737087	
Desulfovibrio vulgaris		42.9952526454321	38.1585922398119
Dialister invisus		1942.99999849587	
Dorea formicigenerans		8749.74510268331	
Dorea longicatena		22583.9693258164	50913.0870762523
Drancourtella massiliensis		72.0000211770663	1246.92634014945
Duncaniella sp. B8	39		
Duodenibacillus massiliensis		438	
Dysosmobacter welbionis	1170.25882913976	15357.5084601983	5081.82163639931
Eisenbergiella massiliensis		599.810784961589	3450.08499106127
Eisenbergiella tayi	2410.96793131815	3613.67095328664	
Emergencia timonensis	4219.01246599856	1043.73422741889	827.336547598548
Enorma massiliensis		37.9972382410865	
Enorma phocaeensis	13.0050069466535		
Enterobacter asburiae		17.6810640153347	
Enterocloster aldensis	39.4069462452009	10.3305626657339	764.168005180716
Enterocloster bolteae	8351.35562572069	12975.6219356812	14046.9551651204
Enterocloster citroniae	23.8360747691659	127.057375109061	399.613230880244
Enterocloster clostridioformis	99.0013320450341	101.409338526961	943.705322688252
Enterocloster lavalensis		164.812950446279	681.984705099721
Enterococcus cecorum	19476.9855947408		
Enterococcus faecalis	106	37	46
Enterococcus faecium	1362.18577178574		
Enterococcus hirae	64.8136827219174		
Enterorhabdus caecimuris	214.999714414525		
Ercella succinigenes	25.7213830661034	251.964146699582	
Erysipelatoclostridium ramosum		13.3354229877515	
Erysipelotrichaceae bacterium GAM147	5474.00000164904	3937.27250936226	
Erysipelotrichaceae bacterium I46		30.0741020655405	
Escherichia coli	1266	529	158
Eubacterium coprostanoligenes	18	8906.70247264004	7069.99989105693
Eubacterium oxidoreducens		655.091977901803	
Eubacterium ramulus		6445.32520255469	
Eubacterium uniforme		96.4860494487453	
Eubacterium ventriosum		2675.18355540804	3638.36662555771
Eubacterium xylanophilum		16432.5132872927	742.000113577366
Faecalibacterium prausnitzii	58596.253484147	201603.093473062	199904.823414273
Faecalicatena contorta	4944.23074875383	1616.9642063685	232.183007142225
Faecalicatena fissicatena	3227.34303242761	11805.2801022322	6325.20152447481
Faecalicatena orotica	1840.13428147452	2284.78068441382	193.358265644614
Faecalicoccus acidiformans		199.182380888943	
Faecalimonas umbilicata	40184.9141464419	16748.0710361616	1142.32020848742
Falcatimonas natans		3822.31087442493	
Flavonifractor plautii	871.665074444174	1999.76882843282	4562.65087643667
Flintibacter sp. KGMB00164	412.180328326253	4565.61913479941	3320.18375487668
Fournierella massiliensis	7003.72074121768	355.684715423907	
Frisingicoccus caecimuris	6472.28571473704	4313.47394674648	1005.73904653043
Fusicatenibacter saccharivorans		68466.8905608716	22569.1554665697
Fusobacterium mortiferum	763.770459527693		
Fusobacterium perfoetens	2753.99984129414		
Fusobacterium ulcerans	328.096423179148		
Fusobacterium varium	8921.36419429655		
Gellertiella hungarica	24.9999950410597		
Gemmiger formicilis	18.2112746287388	80821.9745498312	
Gordonibacter urolithinfaciens	18.000093175778		
Haemophilus parainfluenzae		66	
Harryflintia acetispora	258.073408109083	441.349388821285	316.76853915051
Holdemanella biformis	910.025987879207		
Holdemania filiformis		38	119
Hungateiclostridium aldrichii	264.141454963839	7255.22444530503	
Hungateiclostridium alkalicellulosi		73.1646988621865	
Hungateiclostridium cellulolyticum	11.3579433808929	524.510964642556	
Hungateiclostridium clariflavum	395.000488651417	1147.03044545474	789.947285076524
Hungateiclostridium straminisolvens	64.419711294168	335.538347888688	172.972653526406
Hungateiclostridium thermocellum		30.4353287096611	
Hungatella effluvii		18.3085034091455	753.572662241478
Hungatella hathewayi	879.574194573023	6609.45741609931	15372.5298067452
Hungatella xylanolytica	4666.6458454143	167.35884439838	565.630093929716
Hydrogenispora ethanolica		129.647180956556	
Hydrogenoanaerobacterium saccharovorans	907.448643539985	638.720137934048	198.977405944905
Ihubacter massiliensis	2694.83986419529	1543.95254598161	652.095802630154
Intestinibacillus massiliensis		269.04895300987	
Intestinibacter bartlettii		1778.04490866304	
Intestinimonas butyriciproducens	14.9023622686428	7186.06387663496	15.1352152858966
Kiloniella majae		484	
Kineothrix alysoides		846.981687064179	
Klebsiella oxytoca		97.3189359846653	
Laceyella sacchari	2801.65438553542	2840.96898615345	2683.26477243537
Lachnobacterium bovis		528.639270850874	
Lachnoclostridium pacaense	1367.73773654635	154.010384156876	11249.927483926
Lachnoclostridium phocaeense		34.8494058262864	1201.00279205093
Lachnoclostridium sp. YL32	645.544472399071	1099.29065123872	6903.51935024665
Lachnospira eligens	17371.7043481524	41583.8068259548	4464.70440222883
Lachnospira multipara	79.9619537480774	340.196235284956	
Lachnospira pectinoschiza		1661.90989894609	
Lachnospiraceae bacterium Choco86		864.339992686803	117.015310294078
Lachnospiraceae bacterium GAM79	8882.72412965363	31249.5727906907	14890.9736283639
Lacrimispora aerotolerans	86.9028475635776	371.111119074349	182.003178146274
Lacrimispora amygdalina	977.554167003612	7675.03749160667	4481.11514171058
Lacrimispora celerecrescens	23.1981922654334	35.9983871799838	173.205149098294
Lacrimispora indolis	541.783460896414	1435.73052506415	995.731535815872
Lacrimispora saccharolytica	3208.91302161288	6653.25060081294	1307.93373414818
Lacrimispora sphenoides	49.3799516566749	146.310410699938	495.64738851276
Lacrimispora xylanolytica	591.787913612478	711.715056307237	454.259558785911
Lactobacillus acidophilus	856.644833870477		
Lactobacillus agilis	14256.4150261523		
Lactobacillus amylovorus	1799.93555350922		
Lactobacillus animalis	37376.8980768037		
Lactobacillus crispatus	6587.5566542692		
Lactobacillus curvatus		15	
Lactobacillus delbrueckii	485.999757631457		
Lactobacillus gallinarum	9356.61822391511		
Lactobacillus helveticus	36.780108203276		
Lactobacillus ingluviei	710		
Lactobacillus johnsonii	1913		
Lactobacillus kitasatonis	5386.64699587467		
Lactobacillus mucosae	49		
Lactobacillus murinus	55.8830191243666		
Lactobacillus oris	188.999999636165		
Lactobacillus paracasei		58.9999999980373	
Lactobacillus pontis	834.998548380147		
Lactobacillus reuteri	1167.01319332682		
Lactobacillus rogosae	4225.40860636677	2516.24100861065	
Lactobacillus salivarius	7842.08840838677		
Lactobacillus vaginalis	258.000000363934		
Lactococcus lactis		251	
Lactonifactor longoviformis		142.623044442018	455.062518483448
Limosilactobacillus fermentum	58	75	97
Listeria monocytogenes	12		38
Longibaculum muris	142.000001736937	10.0000000000001	
Longibaculum sp. KGMB06250		470.201913178897	
Lutispora thermophila		441.083560393196	
Mageeibacillus indolicus	141.116802139794		
Mahella australiensis		37.953000412153	
