species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Anaerotignum lactatifermentans	0.000320631107262096	0.00017416028022404	0.000166617511052343	0.000209920598151794	0.00018495676743287	0.000233547649989674	0.000227130384687336	0.000210587803456699	0.000213295887320573
Anaerotruncus colihominis	0.000317017245927436	0.000382207663140529	0.000367093089619108	0.000446292263278081	0.000376284134568436	0.00043639228780492	0.000376326323538749	0.000290498193587455	0.000385091042708074
Anaerotruncus massiliensis	0	0	0	0	0	0	0	0	0
Anaerotruncus rubiinfantis	0.000676119017634757	0.00070320420992627	0.000710601127571903	0.000763544159916824	0.000747679208712727	0.000823966638181573	0.000708637666819861	0.00063693965665254	0.000542112732530884
Anaerovorax odorimutans	0.000172927366826909	0.000228436089359299	0.000232845766991196	0.000140660634480889	0.000150658322990243	0.000166717836620514	0.000211854353836393	0.000153708565345239	0.000165144866591181
Asaccharobacter celatus	0	0	0	0	0	0	0	0	0
Bacillus subtilis	0.000112680288461538	6.7507944238438e-05	0.000159653324210286	0	6.64822049298137e-05	7.56773119418798e-05	0.000183150183150183	0	0.000172066518891892
Bacteroides caccae	0.000300480769230769	0.000250743792891535	0.0002736914164414	0.000168217746788429	0.000145627686989116	0.000119337299603691	0.000447700447700448	0.000297603590251686	0.000263160558305246
Bacteroides caccae CAG:21	0	0	0	0	0	0	0	0	0
Bacteroides cellulosilyticus	0.00169020432692308	0.00168287660994392	0.0015433154673661	0.000944569777983933	0.000864268664087578	0.000651989149037734	0.0020960520960521	0.00200860832137733	0.0014170183908744
Bacteroides cellulosilyticus CAG:158	0	0	0	0	0	0	0	0	0
Bacteroides dorei	0	0	0	0	0	0	0	0	0
Bacteroides dorei CAG:222	0	0	0	0	0	0	0	0	0
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0
Bacteroides faecis	0.00188998992880185	0.00200165215809981	0.00211443014542674	0.0010494036628988	0.00113292702102156	0.00101507440933912	0.00252340244441237	0.00239105227782048	0.00209466975814379
Bacteroides finegoldii	0.000707381810897436	0.000577349528303591	0.000653818375337363	0.00035843049601824	0.000307084470390083	0.000323083908652217	0.000793650793650773	0.000775811679685425	0.000637658275893473
Bacteroides finegoldii CAG:203	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	0.000300480769230769	0.000241099800851564	0.000273691412931919	0.00013493853971199	0.000110803674883023	0.000122247965444575	0.000376475376475376	0.000308199160422977	0.000222674318565978
Bacteroides massiliensis	0	0	0	0	0	0	0	0	0
Bacteroides ovatus	0.000683619114690815	0.00070466645507901	0.000609614204655996	0.000788549111792796	0.000766420145106644	0.000797528354220136	0.00155706073112382	0.00128908764127137	0.00114542994274582
