superkingdom	phylum	class	order	family	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	37800000	37800000	37800000	10.0205195812734	0	0	10.0120284731627	0	0	0	0	0	10	8	8	10	5	7	7	8	4	10	8	8	10	5	7	7	8	4	10	8	8	10	5	7	7	8	4	5.96307651743581	4.81224218230206	4.79236446680347	6.20170286336831	3.09948238478544	4.34690958002649	4.1231566210391	4.72373429527547	2.39477749212639
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0	0	86.0888750443282	48.0440094892035	95.1297873303793	25.0178183838472	54.0321934919863	93.0509134686293	68.1334227707298	17.032932720912	64.1397515319388	85	50	92	39	66	96	71	28	66	87	53	96	40	70	101	72	29	69	87	50	95	39	66	99	72	29	68	55.456611612153	37.8964071856287	61.7016925100947	27.9076628851574	46.4922357717816	72.0345016118676	43.5876557081276	19.4854039680113	43.7046892313067
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	8087200000	8087200000	8087200000	915.578112218572	1073.98142632462	825.117122924282	736.555187052318	892.528538422842	921.484062188819	713.546006340961	652.261129489042	579.26219322771	826	951	754	670	787	829	636	564	535	929	1088	845	754	908	937	727	658	598	892	1045	821	721	863	896	694	630	575	711.395028530092	866.805123087159	628.997836267955	607.766880610094	768.67163142679	765.677073167523	573.118770324435	522.563106414849	447.823391027635
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	5888900000	5888900000	5888900000	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473	1414	1849	1123	1097	1350	1389	980	992	897	1610	2062	1264	1223	1545	1545	1109	1120	1009	1414	1851	1127	1100	1353	1390	981	993	898	1500.31005178685	1813.0122421823	1132.79515084067	1087.7786822348	1475.35361515787	1375.48638853695	985.434432428345	997.888869876943	899.837642666492
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	0	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729	2579	3257	2044	2003	2726	2818	1857	1689	1606	9360	11697	7188	6957	9393	9431	6409	6282	5575	6859	8488	5234	5070	6827	6845	4792	4557	4057	19229.1328457752	24364.3821689953	14756.2892388462	14811.5269485825	20005.2991043592	19862.2718453068	12694.610213805	12892.2518253806	11420.6938599508
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0	5.58153257703148	2.47958590782835	1.86296124858278	0	0.590466786909434	1.1973887460632
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flexibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	unassigned	0	0	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351	687	949	584	1234	1691	1738	428	397	426	689	951	585	1239	1701	1750	430	397	429	689	951	585	1238	1699	1748	430	397	429	415.030125613532	576.86753160346	352.837833868405	779.554049925396	1067.46173332011	1101.63108499528	256.813755253292	235.596247976864	258.63596914965
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	0	0	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0	15	22	17	53	52	60	14	8	16	16	22	17	54	55	61	14	8	16	16	22	17	53	52	60	14	8	16	13.7150759901024	14.4367265469062	11.3818656086582	40.311068611894	39.6733745252537	39.1221862202384	8.2463132420782	5.3142010821849	9.57910996850557
Bacteria	Cyanobacteria	unassigned	Chroococcales	Chroococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	8	9	3	9	9	12	2	5	8	8	9	3	9	9	12	2	5	8	8	9	3	9	9	12	2	5	8	6.55938416917939	6.01530272787758	2.39618223340173	9.92272458138929	7.43875772348506	8.07283207719205	1.76706712330247	3.5428007214566	4.78955498425278
