superkingdom	phylum	class	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Firmicutes	Bacilli	577600000	577600000	577600000	2630.0740530225	2781.12786554644	2158.0592483272	2951.74921367111	3915.98551881384	4545.94296637346	1817.0428939118	1126.23841026847	1724.80832332407	1525	1719	1230	1883	2289	2709	1045	806	1067	2600	2728	2112	2737	3634	4232	1784	1154	1716	2015	2157	1651	2242	2827	3293	1397	937	1366	3852.74373791527	3932.20339321357	3148.58345468988	3901.491271345	5683.21090074259	6387.4731343075	2574.02777627727	1542.29924740744	2421.12004453978
Bacteria	Firmicutes	Clostridia	114164800000	114164800000	114164800000	308417.526332857	396484.781042615	254120.332862082	475808.196535905	636088.00694157	686206.235837625	187583.889668069	181911.860649697	191179.742380641	261628	337382	215714	403798	539394	582846	158972	154254	162363	309645	398208	255274	478714	639995	690350	188863	183118	192089	293831	378035	242384	455245	608586	656894	178443	172832	181811	299860.45837108	386419.438057219	248248.07365377	475469.674447576	634310.309839295	686157.814245933	181185.04944307	175773.105461135	186181.976125366
Bacteria	Firmicutes	Erysipelotrichia	347800000	347800000	347800000	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654	513	585	384	1060	1322	1290	662	719	528	542	618	399	1105	1386	1342	702	763	549	514	585	384	1061	1325	1293	662	722	528	1682.78019322038	2117.38656021291	1211.27011898458	3722.88222887999	4880.44496308316	4884.68439378405	2435.60751828524	2449.25623210033	1839.7878083261
Bacteria	Firmicutes	Negativicutes	3251600000	3251600000	3251600000	5141.55674688586	6411.49264947292	4323.25972249106	8811.17172066306	12051.4507722491	13609.007153869	3335.50744473982	2870.81962764537	3521.72642102229	3100	3936	2604	5589	7691	8657	1985	1706	2149	4448	5507	3802	7728	10562	12031	2865	2364	3016	3109	3942	2615	5610	7711	8679	1993	1714	2151	6517.64263355734	8002.15721889554	5587.29792273449	11125.2347665964	15132.2928989995	17423.6555709119	4256.27567766122	3471.35424024056	4454.28613535509
Bacteria	Firmicutes	Tissierellia	0	0	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0	29	20	16	53	53	44	12	15	12	83	90	70	145	190	203	42	48	46	29	20	17	53	56	44	13	16	12	83.4830712441013	89.6280106453759	64.6969203018468	135.197122421429	206.42552682671	215.482517752742	43.5876557081276	41.3326750836604	45.5007723504015
Bacteria	Firmicutes	unassigned	0	0	0	25.0301542580542	21.9161341406332	23.8516113035324	34.0243168037466	51.9892995825774	47.9882924070087	0	0	16.0349396052989	22	26	21	40	55	58	14	9	16	22	26	21	40	55	58	14	9	16	22	26	21	40	55	58	14	9	16	15.5039989453331	15.6397870924817	13.1790022837095	26.0471520261469	36.5738921404682	38.5011991373775	9.42435799094651	6.49513465600377	10.1778043415372
Bacteria	Fusobacteria	Fusobacteriia	0	0	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268	26	19	21	11	19	21	10	4	19	56	39	40	28	33	41	26	8	34	47	37	34	24	28	34	24	8	29	84.6756865475885	59.551497005988	56.3102824849408	46.5127714752623	48.97182167961	62.0987082860927	44.1766780825618	12.3998025250981	45.5007723504015
Bacteria	Lentisphaerae	Lentisphaeria	99600000	99600000	99600000	124.149552760625	126.115500092995	97.1304719160177	118.084102756164	154.091810694235	182.096436486374	44.0851048189616	57.1104214759989	53.1157374412953	100	96	64	89	114	133	40	37	39	124	127	97	119	154	182	47	58	53	113	100	71	93	130	142	43	43	41	104.353839055127	131.735129740519	109.625337178129	124.654227553703	152.494533331444	198.094879432636	36.5193872149177	64.3608797731283	54.4811879458754
Bacteria	Proteobacteria	Alphaproteobacteria	0	0	0	197.237595917121	232.212665730937	156.209831122668	176.499531301436	256.152622491809	267.141724220415	30.0580260129284	31.0600537851924	33.0720629351461	205	218	171	207	290	321	94	79	88	223	249	188	233	313	355	101	88	95	205	219	173	207	292	322	94	79	89	182.470141433536	235.198336660013	162.940391871318	229.463005944627	264.695795660677	337.816973076344	75.3948639275721	76.7606822982264	86.2119897165501
Bacteria	Proteobacteria	Betaproteobacteria	894800000	894800000	894800000	461.555998701222	674.615896017813	385.517852450174	301.574642180032	407.242642504883	469.352960056597	498.963231814611	374.724519860063	361.788324835992	433	607	359	245	360	400	485	355	353	478	675	408	307	422	482	514	383	381	470	647	398	291	401	455	507	377	373	360.766129304866	555.212441783101	315.697009250678	316.286846031784	389.294987529052	472.571170057166	348.112223290587	271.02425519143	277.19549471363
Bacteria	Proteobacteria	Deltaproteobacteria	1.13e+08	1.13e+08	1.13e+08	109.131461700872	195.662592248657	94.3714886195795	116.782349965059	127.818161786237	143.061353813502	78.5572519598881	74.1433541969109	50.1091862653729	87	134	76	43	68	75	59	61	46	120	177	96	59	84	89	82	85	64	90	135	76	43	68	75	59	61	46	191.414756209689	259.861077844311	132.988113953796	95.5062240958719	118.400227098804	129.786300317934	139.009280366461	135.21689420226	111.955847756909
Bacteria	Proteobacteria	Gammaproteobacteria	258900000	258900000	258900000	330.430923511918	685.631579627846	275.372536039342	406.378636090934	610.366308345348	695.357199116395	260.627261999138	81.1617405932068	201.441663445965	74	144	68	117	170	194	63	21	64	352	704	289	409	603	700	275	105	218	187	395	163	183	296	345	151	58	118	757.907025366091	1513.450166334	561.904733732707	986.690925561898	1440.63941244827	1663.00340790156	577.241926945474	247.996050501962	455.606417877046
Bacteria	Synergistetes	Synergistia	0	0	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965	17	8	11	15	22	23	8	15	15	18	12	11	16	23	25	10	15	15	17	8	11	15	22	23	8	15	15	31.6043055424098	18.6474384564205	17.971366750513	41.5514091845677	39.6733745252537	54.0258762089007	14.7255593608539	18.8949371811019	17.9608311909479
Bacteria	Tenericutes	Mollicutes	0	0	0	83.9412463213214	125.296041903108	54.0726338501543	219.783211068103	312.168080110704	289.024962675893	91.4765537240311	93.1791017571968	59.0322298974481	86	104	54	189	263	264	87	94	54	88	114	59	206	286	289	100	98	57	86	104	54	189	263	264	87	94	54	57.8418422191273	104.66626746507	52.1169635764877	171.166999028965	244.85910839805	247.77384606151	88.9423785395577	69.0846140684037	45.5007723504015
Bacteria	Tenericutes	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	5	4	3	2	2	0	3	1	5	5	4	3	2	2	0	3	1	5	5	4	3	2	2	0.596307651743581	4.81224218230206	1.7971366750513	4.96136229069465	4.33927533869962	6.8308579114702	5.30120136990741	1.7714003607283	1.1973887460632
Bacteria	Verrucomicrobia	Verrucomicrobiae	3765100000	3765100000	3765100000	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453	337	395	287	169	243	234	184	148	152	904	1064	717	384	542	513	481	399	410	894	1042	706	374	531	509	472	388	398	1765.66695681274	2103.55136393879	1350.84773408023	693.350380124577	978.816537115243	943.900365948609	920.052948866153	764.064022260807	779.500073687141
NA	NA	NA	2.28041e+11	2.28041e+11	2.28041e+11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
