superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	43051600000	43051600000	43051600000	17749.9692540604	21915.0857381783	13947.7364142048	14316.3752711653	18897.5448218056	19150.2366245849	12513.1455224684	12129.3614622685	10797.5522316598	10133	12537	8187	8689	11216	11597	7298	6870	6278	17742	21924	13949	14326	18908	19173	12509	12136	10800	14676	18104	11607	12000	15649	15985	10461	9965	8928	26663.3003400625	33162.9654690619	20522.1027379691	21517.4282547427	29071.2850798566	28927.4412809106	18224.3522649928	18339.3079346201	16154.5702675116
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	4	1	0	1	0	0	0	0	0	0	0	0	0	1.78892295523074	0.601530272787758	0	5.58153257703148	2.47958590782835	1.86296124858278	0	0.590466786909434	1.1973887460632
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	0	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351	687	949	584	1234	1691	1738	428	397	426	689	951	585	1239	1701	1750	430	397	429	689	951	585	1238	1699	1748	430	397	429	415.030125613532	576.86753160346	352.837833868405	779.554049925396	1067.46173332011	1101.63108499528	256.813755253292	235.596247976864	258.63596914965
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	0	0	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0	15	22	17	53	52	60	14	8	16	16	22	17	54	55	61	14	8	16	16	22	17	53	52	60	14	8	16	13.7150759901024	14.4367265469062	11.3818656086582	40.311068611894	39.6733745252537	39.1221862202384	8.2463132420782	5.3142010821849	9.57910996850557
Bacteria	Cyanobacteria	unassigned	Chroococcales	0	0	0	0	0	0	0	0	0	0	0	0	8	9	3	9	9	12	2	5	8	8	9	3	9	9	12	2	5	8	8	9	3	9	9	12	2	5	8	6.55938416917939	6.01530272787758	2.39618223340173	9.92272458138929	7.43875772348506	8.07283207719205	1.76706712330247	3.5428007214566	4.78955498425278
Bacteria	Cyanobacteria	unassigned	Nostocales	0	0	0	0	0	0	0	0	0	0	0	0	9	12	7	10	13	11	2	6	6	12	13	9	14	15	12	3	8	6	9	12	7	10	13	11	2	6	6	5.96307651743581	4.2107119095143	5.3914100251539	13.0235760130734	13.6377224930559	7.45184499433113	0.589022374434157	4.72373429527547	2.39477749212639
Bacteria	Cyanobacteria	unassigned	Oscillatoriales	0	0	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0	3	7	4	2	8	9	2	1	2	3	7	4	3	8	9	2	1	2	3	7	4	2	8	9	2	1	2	1.78892295523074	5.41377245508982	2.99522779175217	4.34119200435781	4.33927533869962	7.45184499433113	2.35608949773663	0	2.39477749212639
Bacteria	Cyanobacteria	unassigned	Pleurocapsales	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	7	9	8	3	0	4	5	6	2	7	9	8	3	0	4	5	6	2	7	9	8	3	0	4	2.9815382587179	2.40612109115103	0.599045558350434	2.48068114534732	3.71937886174253	4.34690958002649	0.589022374434157	0	1.79608311909479
Bacteria	Cyanobacteria	unassigned	Synechococcales	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	13	15	25	7	5	7	13	11	11	23	28	38	10	8	7	10	8	9	13	15	25	7	5	7	21.4670754627689	20.4520292747838	19.7685034255643	43.4119200435781	52.6912005413525	56.5098245403444	5.89022374434157	11.2188689512792	10.7764987145688
Bacteria	Firmicutes	Bacilli	Bacillales	0	0	0	891.058350294244	869.52893143471	704.484176898465	903.80192151849	1149.81673180997	1326.55876840153	607.478446205392	344.559304243462	570.861174735968	245	302	189	357	413	469	178	160	182	761	703	607	648	888	1052	550	291	501	452	453	354	469	595	675	311	208	297	1392.37836682126	1155.53965402528	1126.80469525717	1036.92471875518	1531.76419456097	1827.56498485971	1053.17200548827	419.231418705698	897.442865174365
