superkingdom	phylum	class	order	family	genus	species	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis	0	0	0	0	0	0	0	0	0	0	0	0	6	3	6	21	15	13	6	3	6	14.0545653603342	8.4313458407381	7.63213112074783
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mojavensis	0	0	0	851.996455878496	548.015409853301	826.228244730814	313.676869037599	343.476497206382	420.637070286732	380.104302146217	552.01646534464	312.139526608463	4382	2886	4109	4392	2895	4116	4382	2886	4109	5848.53239407646	3742.91531429909	5262.81233562287
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus nakamurai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16602088717447	5.72127039192943	5.49513440693844
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus nematocida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3047590941818	10.8403017952347	14.6536917518358
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	10	3	5	7	2	4	31.7755390755382	16.8626916814762	21.6752523829238
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2	2	1	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus siamensis	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	68.1340885946636	45.1679241468113	57.0883407831937
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233.122464563804	158.388854008151	215.836668094749
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. BH072	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	2	1	3	2	1	2597.95585345482	1653.14602377329	2271.62750677938
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. BS34A	0	0	0	0	0	0	0	0	0	0	0	0	27	42	42	27	42	42	27	42	42	2674.95042890708	1784.43412329336	2332.68455574537
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. DM2	0	0	0	0	0	0	0	0	0	0	0	0	81	45	61	81	45	61	81	45	61	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-14266	0	0	0	0	0	0	0	0	0	0	0	0	14	6	8	14	6	8	14	6	8	1148.80795119253	753.0998552745	1000.72503255245
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. JS	0	0	0	0	0	0	0	0	0	0	0	0	87	51	81	88	51	81	87	51	81	42904.3105686863	28067.9503038171	38558.4422777525
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. KBS0812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549.044651141751	364.053468623299	490.28810319684
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. LM 4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537.739892047569	360.741154185866	465.865283610447
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Lzh-5	0	0	0	0	0	0	0	0	0	0	0	0	16	10	8	16	10	8	16	10	8	275.286160644807	195.727671302849	232.016786070734
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. M4U3P1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	1	3	4	1	3	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MD-5	0	0	0	0	0	0	0	0	0	0	0	0	10	11	8	10	11	8	10	11	8	11224.0981103747	7252.16190101201	10136.6912693324
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Pc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27747641401475	3.6134339317449	4.27399342761878
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. SDLI1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	5	2	1	5	2	1	113.658659000963	64.4395717827841	99.8282750593816
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. SJ-10	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	3	1	4	3	1	4	2555.18108931467	1645.01579742687	2273.15393300353
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. WR11	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	8	4	6	8	4	6	1806.31718283252	1183.39961264645	1609.76909598813
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. YP1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	3	1	1	3	1	734.80934112182	481.79119089932	616.981479801254
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. ZY-1-1	0	0	0	0	0	0	0	0	0	0	0	0	29	26	27	29	26	27	29	26	27	431.719583785918	290.881431505464	372.753283937324
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1740000	1740000	1740000	190196.616065665	125864.266748079	169938.099465658	94998.9011447917	106589.369257238	129725.156425994	76421.0926642723	111816.787990169	69926.6946577213	16656	11552	14886	156780	103694	140202	24671	16864	22050	121813.362250253	79216.7098466548	108671.167461125
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus tequilensis	0	0	0	0	12.2532307447573	0	0	0	0	0	0	0	7	9	7	7	9	7	7	9	7	7.33281670973958	7.82910685211395	4.88456391727861
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	2	1	1	2	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus vallismortis	0	0	0	40.0922166531983	16.5566350708042	36.4541746116477	31.4837316008628	33.3636795994198	25.5314924699429	13.3953926765761	25.2540770598243	10.4055565412725	77	55	82	77	55	82	77	55	82	2737.89043899901	1716.68223707314	2421.8278472357
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	0	0	0	150.478155994727	108.564737344286	112.587522613704	88.2721329044095	88.343200165007	123.828247834393	72.6990314598312	79.4316663218685	38.3696985342373	644	407	587	650	412	590	644	407	587	13283.0919356637	8737.88548594779	11612.4401428402
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Mesobacillus	Mesobacillus persicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66640835486979	3.01119494312075	3.35813769312904
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria grayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8324292420443	7.2268678634898	9.4638425897273
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	0	0	0	11.2013621453001	0	18.2795887646357	11.6024465827638	0	13.2902995001471	0	0	0	8	3	9	8	3	9	8	3	9	71.8004969495333	33.7253833629524	58.9200522521732
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria ivanovii	0	0	0	21.140390488554	0	16.9616416763285	18.8049910016862	0	11.590125574386	0	25.6772057127259	0	16	5	12	208	98	120	16	5	12	117.019533326261	49.0824775728682	63.8046161694518
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	1410000	1410000	1410000	84922.6983635257	44986.5315376707	73720.0090726233	41274.5257907644	37731.7517764543	51779.3052081192	31204.0052872479	44204.8697105314	27811.8705290196	7549	4255	6605	84539	44772	73504	84163	44587	73186	69326.2823780554	35944.3329165381	60225.1466738211
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria seeligeri	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	2	2	5	2	2	5	62.6344760623589	34.0265028572645	61.3623342108125
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria welshimeri	0	0	0	0	0	0	0	0	0	0	0	0	9	3	2	9	3	2	9	3	2	63.8566121806488	27.4018739823988	42.129363786528
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus albilobatus	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	4	2	0	4	2	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus cookii	0	0	0	31.0191356337246	14.0132060677165	27.0193045554102	0	14.0143630812851	17.0090167294726	0	16.0140709369719	0	24	12	26	24	12	26	24	12	26	7.33281670973958	3.6134339317449	7.93741636557774
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus relictisesami	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	4	1	1	4	1	1	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	2	1	2	0	1	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus	0	0	0	50.8412387769151	48.1069328898929	53.9452738026519	22.8629908158723	37.3353491603003	30.7486095954049	15.5362310864354	18.8094942020156	16.6451977051731	214	113	184	214	113	184	214	113	184	11320.9523977492	5811.00400123442	10403.2052880689
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	1550000	1550000	1550000	96378.9589642907	50573.8370720988	88908.1429756681	43054.8625047919	38624.488765726	62559.8342242592	35326.0101842202	56762.1785020235	35114.4207828888	15713	8406	14633	95836	50229	88403	57608	30193	53220	86958.6512246833	44465.1112470869	79653.1943695519
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	0	0	0	0	0	12.0105349414663	0	0	0	0	0	0	4	1	1	6	5	13	6	5	11	5.1940785027322	3.91455342605698	14.043121262176
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus felis	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	6	4	4	6	4	4	19.2486438630664	7.82910685211395	7.93741636557774
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	8	2	9	12	2	10	11	2	10	58.3569996483441	27.4018739823988	50.3720653969357
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lugdunensis	0	0	0	0	0	0	0	0	0	0	0	0	14	3	8	14	3	9	14	3	9	8.86048685760199	5.11903140330528	8.54798685523756
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lutrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.94388476888454	1.80671696587245	2.74756720346922
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus petrasii	0	0	0	12.1669959942811	0	0	16.7465909680567	0	0	0	0	0	1	0	5	1	0	5	1	0	5	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus schweitzeri	0	0	0	0	0	0	0	0	0	0	0	0	45	18	30	45	18	30	45	18	30	709.755550696876	391.455342605698	661.247840301592
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	2	4	1	1	3	8.5549528280295	9.03358482936225	10.0744130793871
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simiae	0	0	0	0	0	16.5547406719152	16.6610952135795	0	10.0414947498836	0	0	0	104	36	82	104	36	82	104	36	82	214.484888759883	122.555634185015	186.529284591077
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus simulans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	3	1	0	2	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	Laceyella sacchari	0	0	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526	386	232	366	450	283	432	450	283	432	171.404590590163	107.800778963723	164.854032208153
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97194238444227	4.21567292036905	3.66342293795896
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus cecorum	0	0	0	22.7230569745195	22.0208135876926	20.0142996706743	15.0169951676764	14.0143630812851	0	18.0276929791083	0	20.0284718519083	16	10	15	20	19	17	20	19	17	12.8324292420443	24.3906790392781	12.2114097931965
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.80514656187716	2.71007544880868	4.5792786724487
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus eurekensis	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	1	2	2	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	990000	990000	990000	82954.6411256083	49424.2718105829	77077.9978161614	40109.2536239202	41726.783507761	57307.351630664	31547.3254476629	47235.8877817404	30521.8757804623	34936	21451	33277	82810	49347	76905	82615	49195	76704	68009.7362446276	39518.6213140224	62213.4694733983
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	7	2	5	8	7	9	7	3	6	83.4107900732877	67.7518862202169	87.0062947765252
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0545653603342	9.6358238179864	13.1272655276863
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus mundtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.8043716264865	9.6358238179864	20.1488261587743
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus saccharolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86048685760199	5.42015089761735	10.379698324217
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. CR-Ec1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.63835073931206	7.82910685211395	12.5166950380264
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. DA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49961253230468	2.71007544880868	2.4422819586393
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. FDAARGOS_375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88854447315972	3.31231443743283	4.88456391727861
