genus	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Hungateiclostridium	0	14.7182724607456	0	0	0	0	0	0	0	17.3416129461507
Hungatella	0	0	0	0	0	0	0	20.268761441344	0	0
Hydrogenoanaerobacterium	0	21.0064044487996	12.9573931209869	0	0	18.1090981152307	0	0	0	0
Laceyella	0	413.561847452702	403.086326854937	45.1738062867868	334.506655617884	373.100271734263	187.109728260228	230.885262249334	164.899585980712	229.188478659502
Lachnospira	0	53.9369829029227	23.6578417265988	0	26.4389253087223	23.7121346185745	27.3862530594996	46.2193650052238	0	42.2071497646081
Lacrimispora	0	45.7203088228484	0	0	0	0	0	23.6864435119656	0	28.8142062888205
Lactobacillus	0	77.0066530036406	30.0228765953422	0	19.0135787020815	19.0120267303491	21.035467593924	110.110457071327	0	34.0457238568738
Limosilactobacillus	86.67	22960.9389217665	23874.8839117617	2832.9045589403	22115.9025103596	24566.2257871941	9582.63194469705	14412.8637593433	11065.3188647412	14841.325641473
Listeria	0	151.775149585612	68.1228254129906	0	54.0401511563775	72.277876808141	50.0845897227799	159.20761976869	34.0442020391806	126.364503609422
Mediterraneibacter	0	95.555005761516	52.9490191546296	0	61.2715978367732	53.7437763200109	52.697592522028	141.497778265404	0	99.961670128802
Megamonas	0	100.072570536362	51.2130360936651	0	35.0250133852864	43.0249488879995	40.0675631106241	95.1352178737715	14.0178298711113	62.0833787977744
missing	0	151.673494615034	87.8959592640059	0	55.5247102686792	67.1997398852129	69.2276227931452	171.4591901641	0	119.171406573531
Monoglobus	0	15.3034987001633	0	0	14.9576828892376	0	0	19.0238161073049	0	13.7000984149883
Negativibacillus	0	0	0	0	0	0	0	13.3718802118159	0	0
Oscillibacter	0	26.9951762397729	0	0	0	0	0	0	0	0
Peptacetobacter	0	372.764014262584	178.226731346456	18.0375951530216	143.887216951392	148.380135178278	163.254818510782	404.390279736665	66.0885915630027	305.996953564064
Peptococcus	0	0	0	0	0	0	0	12.0150417519217	0	0
Phascolarctobacterium	0	72.0522994195071	41.0228371874839	0	37.0257618704111	32.0203895257542	27.3816574441425	78.0078236366955	0	47.0632063582135
Phocaeicola	0	89.2209371715297	33.3875091502215	0	77.055077994866	19.0099276489284	13.021956129572	80.4790737544488	0	48.0701760336181
