id;alias;instrumentModel;firstCreated;firstPublic;releaseStatus;submissionAccountId;studyId;experimentId;sampleId
ERR12020629;"ena-RUN-TAB-04-09-2023-23:03:38:329-2725";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404557;ERS15987755
ERR12020628;"ena-RUN-TAB-04-09-2023-23:03:38:328-2723";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404556;ERS15987753
ERR12020627;"ena-RUN-TAB-04-09-2023-23:03:38:328-2721";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404555;ERS15987751
ERR12020626;"ena-RUN-TAB-04-09-2023-23:03:38:328-2719";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404554;ERS15987749
ERR12020625;"ena-RUN-TAB-04-09-2023-23:03:38:327-2717";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:40;PUBLIC;Webin-42996;ERP144665;ERX11404553;ERS15987747
ERR12020624;"ena-RUN-TAB-04-09-2023-23:03:38:327-2715";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:41;PUBLIC;Webin-42996;ERP144665;ERX11404552;ERS15987745
ERR12020623;"ena-RUN-TAB-04-09-2023-23:03:38:326-2713";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404551;ERS15987743
ERR12020622;"ena-RUN-TAB-04-09-2023-23:03:38:326-2711";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404550;ERS15987741
ERR12020621;"ena-RUN-TAB-04-09-2023-23:03:38:326-2709";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404549;ERS15987739
ERR12020620;"ena-RUN-TAB-04-09-2023-23:03:38:325-2707";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404548;ERS15987737
ERR12020619;"ena-RUN-TAB-04-09-2023-23:03:38:325-2705";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404547;ERS15987735
ERR12020618;"ena-RUN-TAB-04-09-2023-23:03:38:324-2703";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:35;PUBLIC;Webin-42996;ERP144665;ERX11404546;ERS15987733
ERR12020617;"ena-RUN-TAB-04-09-2023-23:03:38:324-2701";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404545;ERS15987731
ERR12020616;"ena-RUN-TAB-04-09-2023-23:03:38:324-2699";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:36;PUBLIC;Webin-42996;ERP144665;ERX11404544;ERS15987729
ERR12020615;"ena-RUN-TAB-04-09-2023-23:03:38:323-2697";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404543;ERS15987727
ERR12020614;"ena-RUN-TAB-04-09-2023-23:03:38:323-2695";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404542;ERS15987725
ERR12020613;"ena-RUN-TAB-04-09-2023-23:03:38:323-2693";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404541;ERS15987723
ERR12020612;"ena-RUN-TAB-04-09-2023-23:03:38:322-2691";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404540;ERS15987721
ERR12020611;"ena-RUN-TAB-04-09-2023-23:03:38:322-2689";"Illumina MiSeq";2023-09-05T00:03:51;2023-12-15T20:18:37;PUBLIC;Webin-42996;ERP144665;ERX11404539;ERS15987719
ERR12020557;"ena-RUN-TAB-04-09-2023-23:03:38:302-2581";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:34;PUBLIC;Webin-42996;ERP144665;ERX11404485;ERS15987823
ERR12020609;"ena-RUN-TAB-04-09-2023-23:03:38:321-2685";"Illumina MiSeq";2023-09-05T00:03:50;2023-12-15T20:18:38;PUBLIC;Webin-42996;ERP144665;ERX11404537;ERS15987715
