read_id	length	mean_Q
ERR13926705.513	1520	14.6421
ERR13926705.514	1515	15.5512
ERR13926705.515	1556	14.3361
ERR13926705.516	1558	16.1470
ERR13926705.517	1551	15.5532
ERR13926705.518	1558	15.7497
ERR13926705.519	1555	15.2836
ERR13926705.520	1532	15.0333
ERR13926705.521	1570	15.4401
ERR13926705.522	1571	15.6334
ERR13926705.523	1548	15.1105
ERR13926705.524	1545	14.4485
ERR13926705.525	1526	15.2929
ERR13926705.526	1565	15.9252
ERR13926705.527	1532	15.8544
ERR13926705.528	1541	14.4802
ERR13926705.529	1570	15.7949
ERR13926705.530	1513	14.0608
ERR13926705.531	163	10.5890
ERR13926705.532	808	15.4790
ERR13926705.533	1568	15.7066
ERR13926705.534	1491	15.0872
ERR13926705.535	1543	15.3390
ERR13926705.536	1579	14.7023
ERR13926705.537	1561	15.5900
ERR13926705.538	1518	15.4242
ERR13926705.539	1569	16.8827
ERR13926705.540	1569	14.7960
ERR13926705.541	1557	15.4926
ERR13926705.542	1550	16.0497
ERR13926705.543	1544	15.2532
ERR13926705.544	1415	15.2049
ERR13926705.545	1578	15.9246
ERR13926705.546	1568	14.6665
ERR13926705.547	1526	15.0039
ERR13926705.548	1518	17.4354
ERR13926705.549	1583	15.2697
ERR13926705.550	401	15.9327
ERR13926705.551	1532	14.8838
ERR13926705.552	1586	15.1274
ERR13926705.553	1570	14.7452
ERR13926705.554	1609	14.8521
ERR13926705.555	1536	13.5033
ERR13926705.556	1588	16.0819
ERR13926705.557	1576	14.6041
ERR13926705.558	1524	15.1969
ERR13926705.559	1551	14.8343
ERR13926705.560	1489	17.2901
ERR13926705.561	1506	14.2988
ERR13926705.562	1537	14.1438
ERR13926705.563	1564	14.3536
ERR13926705.564	255	12.2078
ERR13926705.565	1566	15.6628
ERR13926705.566	1553	15.2176
ERR13926705.567	1564	15.3651
ERR13926705.568	1555	15.3293
ERR13926705.569	1583	14.8844
ERR13926705.570	1550	15.1600
ERR13926705.571	1688	16.6043
ERR13926705.572	1584	15.6471
ERR13926705.573	3089	14.9424
ERR13926705.574	1531	13.9830
ERR13926705.575	1582	16.3135
ERR13926705.576	1565	14.5668
ERR13926705.577	1499	15.3549
ERR13926705.578	327	14.2997
ERR13926705.579	1527	14.7917
ERR13926705.580	1480	14.2892
ERR13926705.581	1522	15.3397
ERR13926705.582	1572	14.5439
ERR13926705.583	1551	15.5745
ERR13926705.584	1219	15.0189
ERR13926705.585	1609	14.4425
ERR13926705.586	1529	16.1799
ERR13926705.587	965	16.7544
ERR13926705.588	1549	15.8102
ERR13926705.589	1555	14.5453
ERR13926705.590	1577	14.1947
ERR13926705.591	1586	16.4042
ERR13926705.592	1527	13.7891
ERR13926705.593	1565	15.2192
ERR13926705.594	1575	15.4927
ERR13926705.595	1547	15.1131
ERR13926705.596	1527	16.0753
ERR13926705.597	1521	15.6502
ERR13926705.598	1505	15.6850
ERR13926705.599	1548	14.4884
ERR13926705.600	1526	14.6723
ERR13926705.601	1605	16.2486
ERR13926705.602	1536	16.1953
ERR13926705.603	1580	16.6627
ERR13926705.604	1560	15.6910
ERR13926705.605	1537	15.3195
ERR13926705.606	1572	17.9879
ERR13926705.607	1518	14.3544
ERR13926705.608	1536	14.7969
ERR13926705.609	1423	15.3816
ERR13926705.610	1579	14.3091
ERR13926705.611	1147	16.0349
ERR13926705.612	1142	14.7382
ERR13926705.613	1579	15.9392
ERR13926705.614	1505	13.9548
ERR13926705.615	1009	16.3746
ERR13926705.616	1590	14.9516
ERR13926705.617	1558	15.0186
ERR13926705.618	1542	14.2425
ERR13926705.619	1569	15.7208
ERR13926705.620	1549	14.7063
ERR13926705.621	1622	14.7072
ERR13926705.622	1516	14.5805
ERR13926705.623	1553	15.4958
ERR13926705.624	1616	14.6912
ERR13926705.625	1553	15.7276
ERR13926705.626	1540	15.6065
ERR13926705.627	1565	15.3022
ERR13926705.628	1577	14.6341
ERR13926705.629	1514	14.9610
ERR13926705.630	978	15.8374
ERR13926705.631	1614	17.0954
ERR13926705.632	1552	16.3879
ERR13926705.633	1511	15.4527
ERR13926705.634	1511	14.7121
ERR13926705.635	1527	14.6195
ERR13926705.636	621	14.3945
ERR13926705.637	1582	15.4330
ERR13926705.638	1566	16.6590
ERR13926705.639	1552	15.0831
ERR13926705.640	334	15.1287
ERR13926705.641	1613	15.6937
ERR13926705.642	1481	14.8744
ERR13926705.643	312	15.3590
ERR13926705.644	1541	15.5010
ERR13926705.645	1568	14.8629
ERR13926705.646	1551	16.3875
ERR13926705.647	1530	15.9706
ERR13926705.648	1521	16.0092
ERR13926705.649	1584	16.3567
ERR13926705.650	1517	14.1536
ERR13926705.651	1500	17.0613
ERR13926705.652	1525	16.8013
ERR13926705.653	1557	14.3263
ERR13926705.654	1536	14.8470
ERR13926705.655	1570	16.2255
ERR13926705.656	1543	16.2981
ERR13926705.657	1500	15.3233
ERR13926705.658	1526	14.7562
ERR13926705.659	1582	14.4943
ERR13926705.660	1515	13.9861
ERR13926705.661	1551	15.1322
ERR13926705.662	1154	16.0295
ERR13926705.663	1529	16.7103
ERR13926705.664	1565	15.4415
ERR13926705.665	1567	15.3504
ERR13926705.666	1593	16.3741
ERR13926705.667	1556	15.8522
ERR13926705.668	1519	15.0303
ERR13926705.669	600	16.1750
ERR13926705.670	1586	15.4521
ERR13926705.671	1587	15.1689
ERR13926705.672	1549	16.2589
ERR13926705.673	1568	15.9458
ERR13926705.674	1506	15.3320
ERR13926705.675	1531	15.6342
ERR13926705.676	1526	13.7916
ERR13926705.677	1497	16.1069
ERR13926705.678	1574	14.4740
ERR13926705.679	1544	15.7545
ERR13926705.680	1461	14.3279
ERR13926705.681	164	17.8171
ERR13926705.682	1493	14.9598
ERR13926705.683	1560	16.5404
ERR13926705.684	1532	14.5764
ERR13926705.685	1530	15.3876
ERR13926705.686	1560	15.4135
ERR13926705.687	1608	15.7886
ERR13926705.688	1534	15.1173
ERR13926705.689	1542	14.7471
ERR13926705.690	1502	15.3249
ERR13926705.691	183	13.9454
ERR13926705.692	1544	14.6911
ERR13926705.693	1512	14.0708
ERR13926705.694	1540	16.1558
ERR13926705.695	1546	17.1125
ERR13926705.696	1564	15.5997
ERR13926705.697	1564	16.7820
ERR13926705.698	1521	15.0901
ERR13926705.699	1559	14.9647
ERR13926705.700	1630	17.2117
ERR13926705.701	1486	16.3964
ERR13926705.702	1463	14.3828
ERR13926705.703	1556	16.0855
ERR13926705.704	1547	14.4027
ERR13926705.705	1502	15.0113
ERR13926705.706	3083	16.3973
ERR13926705.707	1537	14.6454
ERR13926705.708	1580	14.7032
ERR13926705.709	794	15.6940
ERR13926705.710	1583	15.8983
ERR13926705.711	193	13.1658
ERR13926705.712	1573	15.7934
ERR13926705.713	1556	15.1857
ERR13926705.714	1608	16.6026
ERR13926705.715	1525	15.9423
ERR13926705.716	1535	15.5557
ERR13926705.717	1521	15.7811
ERR13926705.718	1518	14.6733
ERR13926705.719	1513	15.0436
ERR13926705.720	1469	15.7127
ERR13926705.721	1475	14.9241
ERR13926705.722	1542	15.1686
ERR13926705.723	1591	15.8913
ERR13926705.724	1566	15.9374
ERR13926705.725	1545	16.7638
ERR13926705.726	1534	14.7001
ERR13926705.727	1575	15.0044
ERR13926705.728	411	13.3455
ERR13926705.729	1551	16.1444
ERR13926705.730	595	16.9983
ERR13926705.731	1601	15.6190
ERR13926705.732	1529	15.8031
ERR13926705.733	269	13.9182
ERR13926705.734	1469	14.7168
ERR13926705.735	1564	15.6528
ERR13926705.736	1536	14.9160
ERR13926705.737	1538	15.9811
ERR13926705.738	1510	15.0894
ERR13926705.739	1684	18.7512
ERR13926705.740	1586	14.8916
ERR13926705.741	674	14.1365
ERR13926705.742	1525	14.5436
ERR13926705.743	1572	16.9179
ERR13926705.744	1529	15.6468
ERR13926705.745	1537	14.8126
ERR13926705.746	638	14.6708
ERR13926705.747	1534	14.4400
ERR13926705.748	1527	15.2397
ERR13926705.749	1585	15.8871
ERR13926705.750	1517	15.2465
ERR13926705.751	1538	15.1326
ERR13926705.752	1520	15.7612
ERR13926705.753	1571	16.1948
ERR13926705.754	1561	16.0211
ERR13926705.755	1509	14.5891
ERR13926705.756	1063	14.5071
ERR13926705.757	1053	15.8357
ERR13926705.758	1554	16.1088
ERR13926705.759	1526	15.5223
ERR13926705.760	1554	15.8282
ERR13926705.761	1530	16.1490
ERR13926705.762	1602	17.5424
ERR13926705.763	1539	16.1618
ERR13926705.764	1512	15.7044
ERR13926705.765	1538	15.3830
ERR13926705.766	1552	16.4343
ERR13926705.767	1571	15.6868
ERR13926705.768	1607	14.3441
ERR13926705.769	1548	16.0052
ERR13926705.770	211	12.1848
ERR13926705.771	1614	14.4405
ERR13926705.772	1269	14.8306
ERR13926705.773	1533	14.7378
ERR13926705.774	1547	15.1855
ERR13926705.775	1541	16.5250
ERR13926705.776	1647	16.3315
ERR13926705.777	1521	15.9816
ERR13926705.778	1562	15.3534
ERR13926705.779	1560	14.1154
ERR13926705.780	1593	16.6171
ERR13926705.781	1564	14.9731
ERR13926705.782	1582	15.0063
ERR13926705.783	1596	15.6767
ERR13926705.784	1502	17.2077
ERR13926705.785	1551	15.4752
ERR13926705.786	1565	15.9629
ERR13926705.787	1558	15.1162
ERR13926705.788	870	13.9644
ERR13926705.789	1523	14.5923
ERR13926705.790	1563	14.3391
ERR13926705.791	1520	16.7132
ERR13926705.792	1527	13.9398
ERR13926705.793	1538	14.4161
ERR13926705.794	704	15.2102
ERR13926705.795	1524	14.7178
ERR13926705.796	1531	14.8073
ERR13926705.797	1590	15.7767
ERR13926705.798	893	15.5969
ERR13926705.799	1505	15.0578
ERR13926705.800	1530	14.8569
ERR13926705.801	1492	14.6903
ERR13926705.802	1584	16.4179
ERR13926705.803	1597	15.0432
ERR13926705.804	1618	16.1335
ERR13926705.805	1524	14.4140
ERR13926705.806	184	11.9022
ERR13926705.807	1591	15.0434
ERR13926705.808	1575	15.7898
ERR13926705.809	516	13.7364
ERR13926705.810	1533	15.4416
ERR13926705.811	1562	16.2362
ERR13926705.812	1566	16.0530
ERR13926705.813	1562	16.4942
ERR13926705.814	1515	14.6086
ERR13926705.815	1581	14.5041
ERR13926705.816	1530	15.7477
ERR13926705.817	1541	14.6282
ERR13926705.818	1551	16.0812
ERR13926705.819	1543	14.6170
ERR13926705.820	1317	14.2688
ERR13926705.821	1579	16.6453
ERR13926705.822	1501	16.9234
ERR13926705.823	1517	15.0903
ERR13926705.824	1563	16.0960
ERR13926705.825	1531	14.9112
ERR13926705.826	1596	15.7256
